Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,-0.40591979593015903,H27-07,933,demo,L,F,1
0,1.0,-0.19839206790580155,H27-07,933,demo,L,F,1
1,1.0,0.099224193068256,H27-07,933,demo,L,F,1
-1,3.33,-0.35356876676662624,H27-07,933,demo,L,F,1
0,3.33,0.007550735681157994,H27-07,933,demo,L,F,1
1,3.33,0.14880072820708976,H27-07,933,demo,L,F,1
-1,5.66,-0.46162490100516734,H27-07,933,demo,L,F,1
0,5.66,-0.1459124905322553,H27-07,933,demo,L,F,1
1,5.66,0.30588690420770037,H27-07,933,demo,L,F,1
-1,7.99,-0.5702930106049209,H27-07,933,demo,L,F,1
0,7.99,-0.136065121313174,H27-07,933,demo,L,F,1
1,7.99,0.32392316218823525,H27-07,933,demo,L,F,1
-1,10.32,-0.6135820166323959,H27-07,933,demo,L,F,1
0,10.32,-0.3133487578919565,H27-07,933,demo,L,F,1
1,10.32,0.022190389517701116,H27-07,933,demo,L,F,1
-1,12.65,-0.7435115220045193,H27-07,933,demo,L,F,1
0,12.65,-0.47183414352882924,H27-07,933,demo,L,F,1
1,12.65,-0.19729861183287392,H27-07,933,demo,L,F,1
-1,14.98,-0.7979906402688989,H27-07,933,demo,L,F,1
0,14.98,-0.5812723280574593,H27-07,933,demo,L,F,1
1,14.98,-0.27289746647762014,H27-07,933,demo,L,F,1
-1,17.31,-0.8238686821685107,H27-07,933,demo,L,F,1
0,17.31,-0.5463896822993134,H27-07,933,demo,L,F,1
1,17.31,-0.3062899791903608,H27-07,933,demo,L,F,1
-1,19.64,-0.7444968103321641,H27-07,933,demo,L,F,1
0,19.64,-0.17237907733053745,H27-07,933,demo,L,F,1
1,19.64,-0.23106000304116395,H27-07,933,demo,L,F,1
-1,1.0,-0.022174539041638186,H27-37,925,demo,L,M,1
0,1.0,-0.506707585616207,H27-37,925,demo,L,M,1
1,1.0,0.028121977580863645,H27-37,925,demo,L,M,1
-1,3.33,-0.052969729970314156,H27-37,925,demo,L,M,1
0,3.33,-0.6775076444302557,H27-37,925,demo,L,M,1
1,3.33,-0.00191760233383333,H27-37,925,demo,L,M,1
-1,5.66,-0.07726634390144722,H27-37,925,demo,L,M,1
0,5.66,-0.5931464307774353,H27-37,925,demo,L,M,1
1,5.66,0.1361424049367327,H27-37,925,demo,L,M,1
-1,7.99,-0.034506025750092116,H27-37,925,demo,L,M,1
0,7.99,-0.7510485875816335,H27-37,925,demo,L,M,1
1,7.99,0.12926917549891764,H27-37,925,demo,L,M,1
-1,10.32,-0.035492800064463516,H27-37,925,demo,L,M,1
0,10.32,-0.7639778162002671,H27-37,925,demo,L,M,1
1,10.32,-0.16920868734431638,H27-37,925,demo,L,M,1
-1,12.65,-0.07465147554353374,H27-37,925,demo,L,M,1
0,12.65,-0.533221761013991,H27-37,925,demo,L,M,1
1,12.65,-0.2509338947167378,H27-37,925,demo,L,M,1
-1,14.98,-0.085597490044754,H27-37,925,demo,L,M,1
0,14.98,-0.4154930108954051,H27-37,925,demo,L,M,1
1,14.98,-0.16546677215810793,H27-37,925,demo,L,M,1
-1,17.31,-0.0315592909410277,H27-37,925,demo,L,M,1
0,17.31,-0.08339427989612545,H27-37,925,demo,L,M,1
1,17.31,0.017748390632888557,H27-37,925,demo,L,M,1
-1,19.64,0.1742921131118693,H27-37,925,demo,L,M,1
0,19.64,-0.06867517827191948,H27-37,925,demo,L,M,1
1,19.64,0.16476637384516424,H27-37,925,demo,L,M,1
-1,1.0,0.5949676388910703,H27-43,1314,demo,L,M,1
0,1.0,0.46695630847605485,H27-43,1314,demo,L,M,1
1,1.0,0.6806460564447637,H27-43,1314,demo,L,M,1
-1,3.33,0.47255549333211855,H27-43,1314,demo,L,M,1
0,3.33,0.24238398050113413,H27-43,1314,demo,L,M,1
1,3.33,0.266046610471053,H27-43,1314,demo,L,M,1
