Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.65424930539683,H27-31,1101,demo,L,M,1
0,1.0,-0.47635873536817985,H27-31,1101,demo,L,M,1
1,1.0,0.757781955016199,H27-31,1101,demo,L,M,1
-1,2.27,0.7938342523810088,H27-31,1101,demo,L,M,1
0,2.27,-0.44335825462735595,H27-31,1101,demo,L,M,1
1,2.27,0.29558996685858513,H27-31,1101,demo,L,M,1
-1,3.54,0.7040096104660288,H27-31,1101,demo,L,M,1
0,3.54,-0.5188316030860759,H27-31,1101,demo,L,M,1
1,3.54,0.7372344371164177,H27-31,1101,demo,L,M,1
-1,4.81,0.8385507579773581,H27-31,1101,demo,L,M,1
0,4.81,-0.5232311382654786,H27-31,1101,demo,L,M,1
1,4.81,0.2774368661166333,H27-31,1101,demo,L,M,1
-1,6.08,0.6432315675849075,H27-31,1101,demo,L,M,1
0,6.08,-0.8085401292083854,H27-31,1101,demo,L,M,1
1,6.08,0.6993975262594924,H27-31,1101,demo,L,M,1
-1,7.35,0.8350507236841082,H27-31,1101,demo,L,M,1
0,7.35,-0.8830087243160584,H27-31,1101,demo,L,M,1
1,7.35,0.7027905916524658,H27-31,1101,demo,L,M,1
-1,8.62,0.7333387886431132,H27-31,1101,demo,L,M,1
0,8.62,-0.8807095453511558,H27-31,1101,demo,L,M,1
1,8.62,0.7122360708185597,H27-31,1101,demo,L,M,1
-1,9.89,0.8575439278387222,H27-31,1101,demo,L,M,1
0,9.89,-0.9189541197538886,H27-31,1101,demo,L,M,1
1,9.89,0.7936622843824181,H27-31,1101,demo,L,M,1
-1,11.16,0.7393107652845478,H27-31,1101,demo,L,M,1
0,11.16,-0.8931408652412753,H27-31,1101,demo,L,M,1
1,11.16,0.7187560815907692,H27-31,1101,demo,L,M,1
-1,12.43,0.7599899155195547,H27-31,1101,demo,L,M,1
0,12.43,-0.8683206019484245,H27-31,1101,demo,L,M,1
1,12.43,0.8027933459870966,H27-31,1101,demo,L,M,1
-1,13.7,0.8290922400558484,H27-31,1101,demo,L,M,1
0,13.7,-0.8684030601828879,H27-31,1101,demo,L,M,1
1,13.7,0.7338961692452595,H27-31,1101,demo,L,M,1
-1,14.97,0.7597181871574396,H27-31,1101,demo,L,M,1
0,14.97,-0.8677288603375621,H27-31,1101,demo,L,M,1
1,14.97,0.7792954312961166,H27-31,1101,demo,L,M,1
-1,16.24,0.6675905947580156,H27-31,1101,demo,L,M,1
0,16.24,-0.8715614137456155,H27-31,1101,demo,L,M,1
1,16.24,0.7592771492107208,H27-31,1101,demo,L,M,1
-1,17.51,0.7173120287108167,H27-31,1101,demo,L,M,1
0,17.51,-0.8685930169221842,H27-31,1101,demo,L,M,1
1,17.51,0.851906862854835,H27-31,1101,demo,L,M,1
-1,18.78,0.6843206160403993,H27-31,1101,demo,L,M,1
0,18.78,-0.8685768199254622,H27-31,1101,demo,L,M,1
1,18.78,0.797036222134853,H27-31,1101,demo,L,M,1
-1,20.05,0.7171096540109804,H27-31,1101,demo,L,M,1
0,20.05,-0.8684546564348983,H27-31,1101,demo,L,M,1
1,20.05,0.7637396084329627,H27-31,1101,demo,L,M,1
-1,21.32,0.7112064424796376,H27-31,1101,demo,L,M,1
0,21.32,-0.8772135639442292,H27-31,1101,demo,L,M,1
