Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,-0.017966364628848173,H27-41,916,demo,L,M,1
0,1.0,0.23859551720387706,H27-41,916,demo,L,M,1
1,1.0,-0.46556716403496745,H27-41,916,demo,L,M,1
-1,2.82,-0.20998459171681325,H27-41,916,demo,L,M,1
0,2.82,0.2326169329357576,H27-41,916,demo,L,M,1
1,2.82,0.5394183599580087,H27-41,916,demo,L,M,1
-1,4.64,0.24694579339302036,H27-41,916,demo,L,M,1
0,4.64,0.05623972755520178,H27-41,916,demo,L,M,1
1,4.64,0.26739221018246045,H27-41,916,demo,L,M,1
-1,6.46,0.41794545530790894,H27-41,916,demo,L,M,1
0,6.46,-0.15928251723844677,H27-41,916,demo,L,M,1
1,6.46,0.2321489024953927,H27-41,916,demo,L,M,1
-1,8.28,0.5452579851679771,H27-41,916,demo,L,M,1
0,8.28,-0.1777749511535003,H27-41,916,demo,L,M,1
1,8.28,0.2641978415266503,H27-41,916,demo,L,M,1
-1,10.1,0.7230928952673795,H27-41,916,demo,L,M,1
0,10.1,-0.517156220715709,H27-41,916,demo,L,M,1
1,10.1,0.18458433332453164,H27-41,916,demo,L,M,1
-1,11.92,0.8024069617388043,H27-41,916,demo,L,M,1
0,11.92,-0.5774320251202486,H27-41,916,demo,L,M,1
1,11.92,0.20973719034248045,H27-41,916,demo,L,M,1
-1,13.74,0.6879804369322646,H27-41,916,demo,L,M,1
0,13.74,-0.7080124013517614,H27-41,916,demo,L,M,1
1,13.74,0.25640175040281005,H27-41,916,demo,L,M,1
-1,15.56,0.7064675765242588,H27-41,916,demo,L,M,1
0,15.56,-0.7755890244692154,H27-41,916,demo,L,M,1
1,15.56,0.15251668772257673,H27-41,916,demo,L,M,1
-1,17.38,0.7390913931275888,H27-41,916,demo,L,M,1
0,17.38,-0.8222130135319972,H27-41,916,demo,L,M,1
1,17.38,0.2060013423026543,H27-41,916,demo,L,M,1
-1,19.2,0.8157861965202042,H27-41,916,demo,L,M,1
0,19.2,-0.8437292421989289,H27-41,916,demo,L,M,1
1,19.2,0.2736909429331067,H27-41,916,demo,L,M,1
-1,1.0,-0.12860791959944357,H27-19,1394,demo,L,M,1
0,1.0,0.862254760210341,H27-19,1394,demo,L,M,1
1,1.0,-0.006382571918180808,H27-19,1394,demo,L,M,1
-1,2.82,0.07389008011827644,H27-19,1394,demo,L,M,1
0,2.82,-0.12202306335063713,H27-19,1394,demo,L,M,1
1,2.82,0.03835686646099385,H27-19,1394,demo,L,M,1
-1,4.64,-0.014552454787386404,H27-19,1394,demo,L,M,1
0,4.64,-0.03998690655276254,H27-19,1394,demo,L,M,1
1,4.64,0.09740209873965591,H27-19,1394,demo,L,M,1
-1,6.46,-0.05089199332687582,H27-19,1394,demo,L,M,1
0,6.46,0.02468212562894348,H27-19,1394,demo,L,M,1
1,6.46,0.06673578624753813,H27-19,1394,demo,L,M,1
-1,8.28,-0.08350609632047694,H27-19,1394,demo,L,M,1
0,8.28,0.03590225268101431,H27-19,1394,demo,L,M,1
1,8.28,0.07614230269200443,H27-19,1394,demo,L,M,1
-1,10.1,-0.09785940262996876,H27-19,1394,demo,L,M,1
0,10.1,-0.10806409266764068,H27-19,1394,demo,L,M,1
1,10.1,0.10555114103146336,H27-19,1394,demo,L,M,1
-1,11.92,-0.01469456026508925,H27-19,1394,demo,L,M,1
0,11.92,-0.14119402329508712,H27-19,1394,demo,L,M,1
1,11.92,0.17991020779293138,H27-19,1394,demo,L,M,1
-1,13.74,-0.015866221065394242,H27-19,1394,demo,L,M,1
0,13.74,-0.14176253413190062,H27-19,1394,demo,L,M,1
1,13.74,0.18488906007245037,H27-19,1394,demo,L,M,1
-1,15.56,-0.0869424911128145,H27-19,1394,demo,L,M,1
0,15.56,-0.07348736968900185,H27-19,1394,demo,L,M,1
1,15.56,0.2164910179955092,H27-19,1394,demo,L,M,1
-1,17.38,-0.07670799195845829,H27-19,1394,demo,L,M,1
0,17.38,-0.0763515122208786,H27-19,1394,demo,L,M,1
1,17.38,0.24538533371557575,H27-19,1394,demo,L,M,1
-1,19.2,0.08407966849893846,H27-19,1394,demo,L,M,1
0,19.2,-0.3689939118565474,H27-19,1394,demo,L,M,1
1,19.2,0.18913891432278332,H27-19,1394,demo,L,M,1
-1,1.0,0.08752396501952225,H27-03,930,demo,L,F,1
0,1.0,-0.13369032713723622,H27-03,930,demo,L,F,1
1,1.0,0.18472228959633938,H27-03,930,demo,L,F,1
-1,2.82,0.19642137924375516,H27-03,930,demo,L,F,1
0,2.82,-0.29970034036797305,H27-03,930,demo,L,F,1
1,2.82,0.508533813086847,H27-03,930,demo,L,F,1
-1,4.64,0.19188997457611554,H27-03,930,demo,L,F,1
0,4.64,-0.38518148781554995,H27-03,930,demo,L,F,1
1,4.64,0.45624916382969893,H27-03,930,demo,L,F,1
-1,6.46,-0.09752062301895889,H27-03,930,demo,L,F,1
0,6.46,-0.19028414247601688,H27-03,930,demo,L,F,1
1,6.46,0.5762041689351891,H27-03,930,demo,L,F,1
-1,8.28,-0.24904751389325228,H27-03,930,demo,L,F,1
0,8.28,-0.23033296082612897,H27-03,930,demo,L,F,1
1,8.28,0.7367775584425805,H27-03,930,demo,L,F,1
-1,10.1,-0.24897848641550022,H27-03,930,demo,L,F,1
0,10.1,-0.27425174265438307,H27-03,930,demo,L,F,1
1,10.1,0.6688852353490411,H27-03,930,demo,L,F,1
-1,11.92,-0.22583692788050752,H27-03,930,demo,L,F,1
0,11.92,-0.35736367801316227,H27-03,930,demo,L,F,1
1,11.92,0.31521309035007133,H27-03,930,demo,L,F,1
-1,13.74,-0.22512718147406474,H27-03,930,demo,L,F,1
0,13.74,-0.3722509611041768,H27-03,930,demo,L,F,1
1,13.74,0.5579723511501069,H27-03,930,demo,L,F,1
-1,15.56,-0.3516771806785617,H27-03,930,demo,L,F,1
0,15.56,-0.3704395209041564,H27-03,930,demo,L,F,1
1,15.56,0.5582231659470329,H27-03,930,demo,L,F,1
-1,17.38,-0.3685806069156763,H27-03,930,demo,L,F,1
0,17.38,-0.28162366838255243,H27-03,930,demo,L,F,1
1,17.38,0.5020761284865342,H27-03,930,demo,L,F,1
-1,19.2,0.07906922682891149,H27-03,930,demo,L,F,1
0,19.2,-0.17476096157071933,H27-03,930,demo,L,F,1
1,19.2,0.2912982197492403,H27-03,930,demo,L,F,1
-1,1.0,-0.30963184463916593,H27-05,909,demo,L,F,1
0,1.0,0.13839192928232433,H27-05,909,demo,L,F,1
1,1.0,-0.08714115582870938,H27-05,909,demo,L,F,1
-1,2.82,-0.20171902222442223,H27-05,909,demo,L,F,1
0,2.82,-0.39466325687287956,H27-05,909,demo,L,F,1
1,2.82,-0.12185632424041255,H27-05,909,demo,L,F,1
-1,4.64,-0.3691950220992431,H27-05,909,demo,L,F,1
0,4.64,-0.3572137107219642,H27-05,909,demo,L,F,1
1,4.64,0.01982665922958333,H27-05,909,demo,L,F,1
-1,6.46,-0.21903715057487802,H27-05,909,demo,L,F,1
0,6.46,-0.3900661585580021,H27-05,909,demo,L,F,1
1,6.46,0.025165558616645024,H27-05,909,demo,L,F,1
-1,8.28,-0.23442735638936077,H27-05,909,demo,L,F,1
0,8.28,-0.3852952769494914,H27-05,909,demo,L,F,1
1,8.28,0.022633142802400842,H27-05,909,demo,L,F,1
-1,10.1,-0.2456251567662227,H27-05,909,demo,L,F,1
0,10.1,-0.38058568473102977,H27-05,909,demo,L,F,1
1,10.1,0.1669732853632487,H27-05,909,demo,L,F,1
-1,11.92,-0.33304096864455957,H27-05,909,demo,L,F,1
0,11.92,0.11170903373408152,H27-05,909,demo,L,F,1
1,11.92,0.313660124237683,H27-05,909,demo,L,F,1
-1,13.74,-0.23665367310287933,H27-05,909,demo,L,F,1
0,13.74,0.02983029492893439,H27-05,909,demo,L,F,1
1,13.74,0.18176593043364017,H27-05,909,demo,L,F,1
-1,15.56,-0.2420854337023333,H27-05,909,demo,L,F,1
0,15.56,0.03051497063474792,H27-05,909,demo,L,F,1
1,15.56,0.131621240004546,H27-05,909,demo,L,F,1
-1,17.38,-0.2672318587259005,H27-05,909,demo,L,F,1
0,17.38,0.033684688074693374,H27-05,909,demo,L,F,1
1,17.38,0.1452932878955107,H27-05,909,demo,L,F,1
-1,19.2,-0.33426766106283445,H27-05,909,demo,L,F,1
0,19.2,0.039817549363685756,H27-05,909,demo,L,F,1
1,19.2,0.20027295146504,H27-05,909,demo,L,F,1
-1,1.0,-0.06667567522119497,H27-36,1105,demo,L,F,1
0,1.0,0.07926041471326702,H27-36,1105,demo,L,F,1
1,1.0,-0.1511735382986237,H27-36,1105,demo,L,F,1
-1,2.82,0.4730545355100589,H27-36,1105,demo,L,F,1
0,2.82,-0.6207483037719768,H27-36,1105,demo,L,F,1
1,2.82,0.2670667684603092,H27-36,1105,demo,L,F,1
-1,4.64,0.3886243599003606,H27-36,1105,demo,L,F,1
0,4.64,-0.6135319093795575,H27-36,1105,demo,L,F,1
1,4.64,0.24323932848406346,H27-36,1105,demo,L,F,1
-1,6.46,0.36316485980729785,H27-36,1105,demo,L,F,1
0,6.46,-0.5019020450026759,H27-36,1105,demo,L,F,1
1,6.46,0.13599687374508854,H27-36,1105,demo,L,F,1
-1,8.28,0.18361028947084318,H27-36,1105,demo,L,F,1
0,8.28,-0.09693346968913812,H27-36,1105,demo,L,F,1
1,8.28,-0.0623373929528036,H27-36,1105,demo,L,F,1
-1,10.1,0.18037015152584912,H27-36,1105,demo,L,F,1
