Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.19122325333004558,H27-01,1357,demo,L,M,1
0,1.0,-0.18586185370396927,H27-01,1357,demo,L,M,1
1,1.0,0.050635440912940456,H27-01,1357,demo,L,M,1
-1,2.54,0.24161725636532944,H27-01,1357,demo,L,M,1
0,2.54,-0.1442491082778086,H27-01,1357,demo,L,M,1
1,2.54,0.3257625695273845,H27-01,1357,demo,L,M,1
-1,4.08,0.13754025488334054,H27-01,1357,demo,L,M,1
0,4.08,-0.3577734237456226,H27-01,1357,demo,L,M,1
1,4.08,0.2590482101177034,H27-01,1357,demo,L,M,1
-1,5.62,0.3753095895886035,H27-01,1357,demo,L,M,1
0,5.62,-0.2895789726775012,H27-01,1357,demo,L,M,1
1,5.62,0.6039245680182098,H27-01,1357,demo,L,M,1
-1,7.16,0.20625261653213461,H27-01,1357,demo,L,M,1
0,7.16,0.2323973144024055,H27-01,1357,demo,L,M,1
1,7.16,0.4653756220908169,H27-01,1357,demo,L,M,1
-1,8.7,0.3901432291959115,H27-01,1357,demo,L,M,1
0,8.7,0.2359782156620065,H27-01,1357,demo,L,M,1
1,8.7,0.4699995212884712,H27-01,1357,demo,L,M,1
-1,10.24,0.3837633276901696,H27-01,1357,demo,L,M,1
0,10.24,0.2560277458121509,H27-01,1357,demo,L,M,1
1,10.24,0.5615912946183917,H27-01,1357,demo,L,M,1
-1,11.78,0.3280662296573482,H27-01,1357,demo,L,M,1
0,11.78,0.037188848195515364,H27-01,1357,demo,L,M,1
1,11.78,0.4133080839481923,H27-01,1357,demo,L,M,1
-1,13.32,0.23667701061087507,H27-01,1357,demo,L,M,1
0,13.32,-0.1175671737099647,H27-01,1357,demo,L,M,1
1,13.32,0.7634558939190594,H27-01,1357,demo,L,M,1
-1,14.86,0.013728570792678493,H27-01,1357,demo,L,M,1
0,14.86,-0.10676927479988367,H27-01,1357,demo,L,M,1
1,14.86,0.7276142520119581,H27-01,1357,demo,L,M,1
-1,16.4,0.06696587021158557,H27-01,1357,demo,L,M,1
0,16.4,-0.2241306676469392,H27-01,1357,demo,L,M,1
1,16.4,0.7994904913015822,H27-01,1357,demo,L,M,1
-1,17.94,0.10672346770866062,H27-01,1357,demo,L,M,1
0,17.94,-0.1855277160167434,H27-01,1357,demo,L,M,1
1,17.94,0.8428677244037366,H27-01,1357,demo,L,M,1
-1,19.48,-0.0028347242604877597,H27-01,1357,demo,L,M,1
0,19.48,-0.17910417816486418,H27-01,1357,demo,L,M,1
1,19.48,0.7626668138161267,H27-01,1357,demo,L,M,1
-1,1.0,0.20313728787775945,H27-35,1094,demo,L,F,1
