Lag,variable,value,ID,age,cnt,exp,first_turn,sex,trial_num
-1,1,0.40441074556805734,H27-16,1093,19,demo,L,M,1
0,1,0.4895154201744054,H27-16,1093,20,demo,L,M,1
1,1,0.25700640298567756,H27-16,1093,19,demo,L,M,1
-1,1,-0.6920836614591103,H27-22,1101,14,demo,L,F,1
0,1,-0.09283518045873894,H27-22,1101,15,demo,L,F,1
1,1,-0.3403912283713588,H27-22,1101,14,demo,L,F,1
-1,1,-0.4028145937839502,H27-07,933,20,demo,L,F,1
0,1,0.2930300606766718,H27-07,933,21,demo,L,F,1
1,1,0.07923488653294639,H27-07,933,20,demo,L,F,1
-1,1,-0.10601276382855533,H27-06,966,20,demo,L,F,1
0,1,0.24798823134093811,H27-06,966,21,demo,L,F,1
1,1,0.19062854880100857,H27-06,966,20,demo,L,F,1
-1,1,0.23450550869997272,H27-20,1375,20,demo,L,F,1
0,1,0.3736628028855682,H27-20,1375,21,demo,L,F,1
1,1,0.06364087533527371,H27-20,1375,20,demo,L,F,1
-1,1,0.4171726272406064,H27-35,1094,19,demo,L,F,1
0,1,0.5321852507596655,H27-35,1094,20,demo,L,F,1
1,1,0.1742399369654608,H27-35,1094,20,demo,L,F,1
-1,1,-0.651114969891706,H27-05,909,20,demo,L,F,1
0,1,-0.2471147435077119,H27-05,909,21,demo,L,F,1
1,1,-0.022472557331898273,H27-05,909,20,demo,L,F,1
-1,1,0.0813568028064253,H27-01,1357,20,demo,L,M,1
0,1,-0.19652207478186826,H27-01,1357,21,demo,L,M,1
1,1,0.409089937673603,H27-01,1357,20,demo,L,M,1
-1,1,0.12091297299566323,H27-41,916,15,demo,L,M,1
0,1,0.48530495769173426,H27-41,916,17,demo,L,M,1
1,1,-0.1746581593788308,H27-41,916,15,demo,L,M,1
-1,1,0.22265981436039786,H27-37,925,20,demo,L,M,1
0,1,0.28217330720200123,H27-37,925,21,demo,L,M,1
1,1,0.022725351777915903,H27-37,925,20,demo,L,M,1
-1,1,0.4450282536931485,H27-12,1123,8,demo,L,M,1
0,1,0.25933722878003695,H27-12,1123,9,demo,L,M,1
1,1,-0.49166613649104246,H27-12,1123,9,demo,L,M,1
-1,1,0.07104404917961948,H27-21,1117,17,demo,L,M,1
0,1,-0.02206295064581001,H27-21,1117,18,demo,L,M,1
1,1,-0.02452789211849102,H27-21,1117,17,demo,L,M,1
-1,1,0.23496044972809893,H27-36,1105,20,demo,L,F,1
0,1,-0.045725537466226165,H27-36,1105,21,demo,L,F,1
1,1,-0.04107273821590223,H27-36,1105,20,demo,L,F,1
-1,1,0.8671278332903736,H27-10,1356,17,demo,L,F,1
0,1,0.8790476078736285,H27-10,1356,18,demo,L,F,1
1,1,0.2975114567483,H27-10,1356,17,demo,L,F,1
-1,1,0.2958729772350512,H27-28,1310,20,demo,L,F,1
0,1,0.6709217192483697,H27-28,1310,21,demo,L,F,1
1,1,0.3257297622843954,H27-28,1310,20,demo,L,F,1
-1,1,-0.24905134448912386,H27-44,926,19,demo,L,M,1
0,1,0.2943290140771536,H27-44,926,20,demo,L,M,1
1,1,0.06733307409723906,H27-44,926,19,demo,L,M,1
-1,1,0.31658724724760645,H27-39,1110,20,demo,L,M,1
0,1,0.5791143377914507,H27-39,1110,21,demo,L,M,1
1,1,0.5127470773024044,H27-39,1110,20,demo,L,M,1
