Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,-0.7478057703825719,H27-17,1360,demo,L,M,1
0,1.0,-0.543503806807759,H27-17,1360,demo,L,M,1
1,1.0,-0.09150066071947506,H27-17,1360,demo,L,M,1
-1,3.33,-0.7540025548058186,H27-17,1360,demo,L,M,1
0,3.33,-0.5492837962070224,H27-17,1360,demo,L,M,1
1,3.33,0.4304830109865992,H27-17,1360,demo,L,M,1
-1,5.66,-0.7719930511185072,H27-17,1360,demo,L,M,1
0,5.66,-0.4601043088830604,H27-17,1360,demo,L,M,1
1,5.66,0.5084602527858142,H27-17,1360,demo,L,M,1
-1,7.99,-0.8311573652010282,H27-17,1360,demo,L,M,1
0,7.99,-0.551977836609715,H27-17,1360,demo,L,M,1
1,7.99,0.426173186416348,H27-17,1360,demo,L,M,1
-1,10.32,-0.8649243863416571,H27-17,1360,demo,L,M,1
0,10.32,-0.6068687582120522,H27-17,1360,demo,L,M,1
1,10.32,0.22358144498960675,H27-17,1360,demo,L,M,1
-1,12.65,-0.5237292911743253,H27-17,1360,demo,L,M,1
0,12.65,-0.6767569314101152,H27-17,1360,demo,L,M,1
1,12.65,0.38679142806602,H27-17,1360,demo,L,M,1
-1,14.98,-0.5237292911743254,H27-17,1360,demo,L,M,1
0,14.98,-0.6557276450849863,H27-17,1360,demo,L,M,1
1,14.98,0.5363557795208865,H27-17,1360,demo,L,M,1
-1,17.31,-0.45060070212982706,H27-17,1360,demo,L,M,1
0,17.31,-0.5626999548431803,H27-17,1360,demo,L,M,1
1,17.31,0.6569054453557934,H27-17,1360,demo,L,M,1
-1,19.64,-0.445625566648624,H27-17,1360,demo,L,M,1
0,19.64,-0.6463209045694198,H27-17,1360,demo,L,M,1
1,19.64,0.556894649487392,H27-17,1360,demo,L,M,1
-1,1.0,-0.115412781467957,H27-26,1117,demo,L,F,1
0,1.0,-0.15906185344122012,H27-26,1117,demo,L,F,1
1,1.0,0.24555448368821078,H27-26,1117,demo,L,F,1
-1,3.33,-0.13628891239118424,H27-26,1117,demo,L,F,1
0,3.33,-0.15682478166903668,H27-26,1117,demo,L,F,1
1,3.33,0.24402074464121146,H27-26,1117,demo,L,F,1
-1,5.66,-0.091438764160681,H27-26,1117,demo,L,F,1
0,5.66,-0.49822456856111014,H27-26,1117,demo,L,F,1
1,5.66,0.20093853081013002,H27-26,1117,demo,L,F,1
-1,7.99,0.212472090295823,H27-26,1117,demo,L,F,1
0,7.99,-0.46740592505771894,H27-26,1117,demo,L,F,1
1,7.99,0.1294414489897089,H27-26,1117,demo,L,F,1
-1,10.32,0.15736248814526407,H27-26,1117,demo,L,F,1
0,10.32,-0.5771902027554902,H27-26,1117,demo,L,F,1
1,10.32,-0.36206940981024965,H27-26,1117,demo,L,F,1
-1,12.65,0.3931689127030372,H27-26,1117,demo,L,F,1
0,12.65,-0.694662885741537,H27-26,1117,demo,L,F,1
1,12.65,-0.5642227159565559,H27-26,1117,demo,L,F,1
-1,14.98,-0.589754663605569,H27-26,1117,demo,L,F,1
0,14.98,-0.8742507384632706,H27-26,1117,demo,L,F,1
1,14.98,-0.6824165013866956,H27-26,1117,demo,L,F,1
-1,17.31,-0.674227432885198,H27-26,1117,demo,L,F,1
0,17.31,-0.5605541749769908,H27-26,1117,demo,L,F,1
1,17.31,-0.16312258283441394,H27-26,1117,demo,L,F,1
-1,19.64,-0.5560299274403567,H27-26,1117,demo,L,F,1
0,19.64,-0.730821202957446,H27-26,1117,demo,L,F,1
1,19.64,-0.5650130179074611,H27-26,1117,demo,L,F,1
-1,1.0,0.007202263595024183,H27-08,945,demo,L,F,1
0,1.0,-0.593890928806556,H27-08,945,demo,L,F,1
1,1.0,-0.3043279205415913,H27-08,945,demo,L,F,1
-1,3.33,-0.331031019280779,H27-08,945,demo,L,F,1
0,3.33,-0.7727028819706443,H27-08,945,demo,L,F,1
1,3.33,-0.3816093204985686,H27-08,945,demo,L,F,1
-1,5.66,-0.20395951303607843,H27-08,945,demo,L,F,1
0,5.66,-0.8126984220836644,H27-08,945,demo,L,F,1
1,5.66,-0.5314095769551676,H27-08,945,demo,L,F,1
-1,7.99,-0.1897356887756515,H27-08,945,demo,L,F,1
0,7.99,-0.8302725191139763,H27-08,945,demo,L,F,1
1,7.99,-0.38901154031327945,H27-08,945,demo,L,F,1
-1,10.32,-0.2908092208164408,H27-08,945,demo,L,F,1
0,10.32,-0.615162334616578,H27-08,945,demo,L,F,1
1,10.32,-0.4067414382296229,H27-08,945,demo,L,F,1
-1,12.65,-0.267561312825798,H27-08,945,demo,L,F,1
0,12.65,-0.6002114001940427,H27-08,945,demo,L,F,1
1,12.65,-0.3609321811771943,H27-08,945,demo,L,F,1
-1,14.98,-0.1448839542979041,H27-08,945,demo,L,F,1
0,14.98,-0.48395444090844547,H27-08,945,demo,L,F,1
1,14.98,-0.35004117116185246,H27-08,945,demo,L,F,1
-1,17.31,-0.039534778609420757,H27-08,945,demo,L,F,1
0,17.31,-0.39882531757921813,H27-08,945,demo,L,F,1
1,17.31,-0.2124086561860603,H27-08,945,demo,L,F,1
-1,19.64,-0.003022835187715646,H27-08,945,demo,L,F,1
0,19.64,-0.432386009620321,H27-08,945,demo,L,F,1
1,19.64,-0.033348920954758665,H27-08,945,demo,L,F,1
-1,1.0,-0.2295673913708355,H27-22,1101,demo,L,F,1
0,1.0,0.4058284791032212,H27-22,1101,demo,L,F,1
1,1.0,-0.154135502792172,H27-22,1101,demo,L,F,1
-1,3.33,-0.03838013138683452,H27-22,1101,demo,L,F,1
0,3.33,-0.05646153895657106,H27-22,1101,demo,L,F,1
1,3.33,-0.2809841824952876,H27-22,1101,demo,L,F,1
-1,5.66,-0.5201912361292605,H27-22,1101,demo,L,F,1
0,5.66,0.2898533008068395,H27-22,1101,demo,L,F,1
1,5.66,0.4004392137787088,H27-22,1101,demo,L,F,1
-1,7.99,0.0434682887297023,H27-22,1101,demo,L,F,1
0,7.99,-0.3848867938280569,H27-22,1101,demo,L,F,1
1,7.99,0.16601118811803467,H27-22,1101,demo,L,F,1
-1,10.32,-0.492851263501532,H27-22,1101,demo,L,F,1
0,10.32,-0.7444752044976026,H27-22,1101,demo,L,F,1
1,10.32,-0.48869975116241743,H27-22,1101,demo,L,F,1
-1,12.65,-0.7284296029519607,H27-22,1101,demo,L,F,1
0,12.65,-0.4616991035945077,H27-22,1101,demo,L,F,1
1,12.65,-0.11734069345312209,H27-22,1101,demo,L,F,1
-1,14.98,-0.4911914397792903,H27-22,1101,demo,L,F,1
0,14.98,-0.14401592734761098,H27-22,1101,demo,L,F,1
1,14.98,0.17686558901372276,H27-22,1101,demo,L,F,1
-1,17.31,-0.3610753564872694,H27-22,1101,demo,L,F,1
0,17.31,0.02921044963493712,H27-22,1101,demo,L,F,1
1,17.31,0.44397313252783327,H27-22,1101,demo,L,F,1
-1,19.64,-0.6477683493019667,H27-22,1101,demo,L,F,1
0,19.64,0.09408067968978145,H27-22,1101,demo,L,F,1
1,19.64,0.3969150019377704,H27-22,1101,demo,L,F,1
-1,1.0,-0.647468898160471,H27-05,909,demo,L,F,1
0,1.0,-0.5331293496475213,H27-05,909,demo,L,F,1
1,1.0,0.0405941611978947,H27-05,909,demo,L,F,1
-1,3.33,-0.7023511101997608,H27-05,909,demo,L,F,1
0,3.33,-0.5866305898841823,H27-05,909,demo,L,F,1
1,3.33,0.14285604811608232,H27-05,909,demo,L,F,1
-1,5.66,-0.7383093105023387,H27-05,909,demo,L,F,1
0,5.66,-0.7371480816402718,H27-05,909,demo,L,F,1
1,5.66,-0.09958012068317615,H27-05,909,demo,L,F,1
-1,7.99,-0.7027649774947012,H27-05,909,demo,L,F,1
0,7.99,-0.6898203579219612,H27-05,909,demo,L,F,1
1,7.99,-0.2615588658294986,H27-05,909,demo,L,F,1
-1,10.32,-0.697557971002495,H27-05,909,demo,L,F,1
0,10.32,-0.5250953896434748,H27-05,909,demo,L,F,1
1,10.32,-0.0911364603446379,H27-05,909,demo,L,F,1
-1,12.65,-0.7462035644761399,H27-05,909,demo,L,F,1
0,12.65,-0.3888790132299262,H27-05,909,demo,L,F,1
1,12.65,-0.16818779794478364,H27-05,909,demo,L,F,1
-1,14.98,-0.7043031017386442,H27-05,909,demo,L,F,1
0,14.98,-0.3113836506557479,H27-05,909,demo,L,F,1
1,14.98,0.02274038191848521,H27-05,909,demo,L,F,1
-1,17.31,-0.6256690562532483,H27-05,909,demo,L,F,1
0,17.31,-0.3130058504311842,H27-05,909,demo,L,F,1
1,17.31,0.022740381918485205,H27-05,909,demo,L,F,1
-1,19.64,-0.6256690562532482,H27-05,909,demo,L,F,1
0,19.64,-0.26754694123416434,H27-05,909,demo,L,F,1
1,19.64,0.11127057911006683,H27-05,909,demo,L,F,1
-1,1.0,0.07405326560173711,H27-19,1394,demo,L,M,1
0,1.0,-0.02300302244669071,H27-19,1394,demo,L,M,1
1,1.0,0.2037095070003872,H27-19,1394,demo,L,M,1
-1,3.33,-0.2511876513355637,H27-19,1394,demo,L,M,1
0,3.33,-0.0735395757773546,H27-19,1394,demo,L,M,1
1,3.33,0.20113183580840388,H27-19,1394,demo,L,M,1
-1,5.66,-0.2638767467033711,H27-19,1394,demo,L,M,1
0,5.66,-0.0873704102140172,H27-19,1394,demo,L,M,1
1,5.66,0.048913752019527044,H27-19,1394,demo,L,M,1
-1,7.99,-0.3238318486240807,H27-19,1394,demo,L,M,1
0,7.99,-0.11082871921635695,H27-19,1394,demo,L,M,1
1,7.99,0.04437094698007023,H27-19,1394,demo,L,M,1
-1,10.32,-0.32938016371000184,H27-19,1394,demo,L,M,1
0,10.32,-0.29990727844208687,H27-19,1394,demo,L,M,1
1,10.32,0.05640325795264888,H27-19,1394,demo,L,M,1
-1,12.65,-0.3767178932194334,H27-19,1394,demo,L,M,1
0,12.65,-0.2645554864238059,H27-19,1394,demo,L,M,1
1,12.65,0.1035992505088083,H27-19,1394,demo,L,M,1
-1,14.98,-0.33715662791570467,H27-19,1394,demo,L,M,1
0,14.98,-0.2065188319367043,H27-19,1394,demo,L,M,1
1,14.98,0.18068451909785369,H27-19,1394,demo,L,M,1
-1,17.31,-0.34632866878124013,H27-19,1394,demo,L,M,1
0,17.31,-0.2195779319468077,H27-19,1394,demo,L,M,1
1,17.31,0.09306474019294,H27-19,1394,demo,L,M,1
-1,19.64,-0.46840623026177597,H27-19,1394,demo,L,M,1
0,19.64,-0.3467418345849098,H27-19,1394,demo,L,M,1
1,19.64,0.11062743756101984,H27-19,1394,demo,L,M,1
-1,1.0,0.24274933766208187,H27-14,957,demo,L,M,1
0,1.0,-0.021102133242399738,H27-14,957,demo,L,M,1
1,1.0,0.46609189257972183,H27-14,957,demo,L,M,1
-1,3.33,-0.1967078854627744,H27-14,957,demo,L,M,1
0,3.33,-0.3142597825769047,H27-14,957,demo,L,M,1
1,3.33,0.14158849456211606,H27-14,957,demo,L,M,1
-1,5.66,-0.3070490247498583,H27-14,957,demo,L,M,1
0,5.66,-0.3469677883200757,H27-14,957,demo,L,M,1
1,5.66,0.1345140626965676,H27-14,957,demo,L,M,1
-1,7.99,-0.37662214823951934,H27-14,957,demo,L,M,1
0,7.99,-0.267544259735675,H27-14,957,demo,L,M,1
1,7.99,-0.07082121979654692,H27-14,957,demo,L,M,1
-1,10.32,-0.5540165344214206,H27-14,957,demo,L,M,1
0,10.32,-0.6194833043315987,H27-14,957,demo,L,M,1
1,10.32,0.1441760879196236,H27-14,957,demo,L,M,1
-1,12.65,-0.5406655120491018,H27-14,957,demo,L,M,1
0,12.65,-0.5908610513266739,H27-14,957,demo,L,M,1
1,12.65,0.15607647299508068,H27-14,957,demo,L,M,1
-1,14.98,-0.5369479395781465,H27-14,957,demo,L,M,1
0,14.98,-0.5864537779789685,H27-14,957,demo,L,M,1
1,14.98,0.1667512830237985,H27-14,957,demo,L,M,1
-1,17.31,-0.5369479395781463,H27-14,957,demo,L,M,1
0,17.31,-0.5437400814426369,H27-14,957,demo,L,M,1
1,17.31,0.2284454498864629,H27-14,957,demo,L,M,1
-1,19.64,-0.5516764082302653,H27-14,957,demo,L,M,1
0,19.64,-0.5233801733052172,H27-14,957,demo,L,M,1
1,19.64,0.18242406324599758,H27-14,957,demo,L,M,1
-1,1.0,0.49966495183315013,H27-27,1320,demo,L,F,1
0,1.0,0.1408317616886377,H27-27,1320,demo,L,F,1
1,1.0,0.23725190841078275,H27-27,1320,demo,L,F,1
-1,3.33,0.3585352741928879,H27-27,1320,demo,L,F,1
0,3.33,0.059420176242707304,H27-27,1320,demo,L,F,1
1,3.33,-0.2811486659020781,H27-27,1320,demo,L,F,1
-1,5.66,-0.03731025239081307,H27-27,1320,demo,L,F,1
0,5.66,-0.051596299416795416,H27-27,1320,demo,L,F,1
1,5.66,-0.40732123662496633,H27-27,1320,demo,L,F,1
-1,7.99,-0.18622504408412,H27-27,1320,demo,L,F,1
0,7.99,-0.19357815084833363,H27-27,1320,demo,L,F,1
1,7.99,-0.490940100615156,H27-27,1320,demo,L,F,1
-1,10.32,-0.3981248281340184,H27-27,1320,demo,L,F,1
0,10.32,0.01325644434551081,H27-27,1320,demo,L,F,1
1,10.32,-0.15540278389438758,H27-27,1320,demo,L,F,1
-1,12.65,-0.28525295327257794,H27-27,1320,demo,L,F,1
0,12.65,0.16092631212357367,H27-27,1320,demo,L,F,1
1,12.65,0.07677112078925429,H27-27,1320,demo,L,F,1
-1,14.98,-0.15623615808965843,H27-27,1320,demo,L,F,1
0,14.98,0.06850006946604054,H27-27,1320,demo,L,F,1
1,14.98,-0.015981862072645816,H27-27,1320,demo,L,F,1
-1,17.31,-0.056208262476401406,H27-27,1320,demo,L,F,1
0,17.31,-0.09116364958859137,H27-27,1320,demo,L,F,1
1,17.31,0.15256833653799953,H27-27,1320,demo,L,F,1
-1,19.64,-0.06825222328398686,H27-27,1320,demo,L,F,1
0,19.64,-0.043387450119746165,H27-27,1320,demo,L,F,1
1,19.64,0.059466563416327306,H27-27,1320,demo,L,F,1
-1,1.0,0.18900593632102008,H27-25,1125,demo,L,F,1
0,1.0,0.5138055050885683,H27-25,1125,demo,L,F,1
1,1.0,-0.5773015189079849,H27-25,1125,demo,L,F,1
-1,3.33,0.19023740562089111,H27-25,1125,demo,L,F,1
0,3.33,0.5116903530772783,H27-25,1125,demo,L,F,1
1,3.33,-0.5324921864177431,H27-25,1125,demo,L,F,1
-1,5.66,0.17330412599231845,H27-25,1125,demo,L,F,1
0,5.66,0.4554730593780392,H27-25,1125,demo,L,F,1
1,5.66,-0.5418043929843454,H27-25,1125,demo,L,F,1
