Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,-0.13729225377295456,H27-03,930,demo,L,F,1
-2,1.0,-0.33069819297417313,H27-03,930,demo,L,F,1
-1,1.0,0.02247445274065594,H27-03,930,demo,L,F,1
0,1.0,0.03456177124957744,H27-03,930,demo,L,F,1
1,1.0,-0.399668142273618,H27-03,930,demo,L,F,1
2,1.0,-0.41718973623749495,H27-03,930,demo,L,F,1
3,1.0,-0.6235541551872739,H27-03,930,demo,L,F,1
-3,11.0,0.008268964508363695,H27-03,930,demo,L,F,1
-2,11.0,-0.20484219304730697,H27-03,930,demo,L,F,1
-1,11.0,0.4721368076748008,H27-03,930,demo,L,F,1
0,11.0,-0.0909051347650431,H27-03,930,demo,L,F,1
1,11.0,-0.078251533252046,H27-03,930,demo,L,F,1
2,11.0,-0.25928944628393247,H27-03,930,demo,L,F,1
3,11.0,-0.36569568437258726,H27-03,930,demo,L,F,1
-3,1.0,-0.46225535476276647,H27-15,1111,demo,L,F,1
-2,1.0,-0.5402022346860981,H27-15,1111,demo,L,F,1
-1,1.0,-0.7019010814209363,H27-15,1111,demo,L,F,1
0,1.0,-0.45477995010746375,H27-15,1111,demo,L,F,1
1,1.0,0.7819342432352882,H27-15,1111,demo,L,F,1
2,1.0,0.13329581641074417,H27-15,1111,demo,L,F,1
3,1.0,-0.0727333824522975,H27-15,1111,demo,L,F,1
-3,11.0,0.17491370186811603,H27-15,1111,demo,L,F,1
-2,11.0,0.05756030851682836,H27-15,1111,demo,L,F,1
-1,11.0,-0.05524356425775858,H27-15,1111,demo,L,F,1
0,11.0,-0.31870507484894467,H27-15,1111,demo,L,F,1
1,11.0,0.5341929407098743,H27-15,1111,demo,L,F,1
2,11.0,0.03728701395615576,H27-15,1111,demo,L,F,1
3,11.0,-0.13649847024115583,H27-15,1111,demo,L,F,1
-3,1.0,-0.2166166321095283,H27-14,957,demo,L,M,1
-2,1.0,-0.36455115392891657,H27-14,957,demo,L,M,1
-1,1.0,-0.13822224060873128,H27-14,957,demo,L,M,1
0,1.0,0.29778493291469815,H27-14,957,demo,L,M,1
1,1.0,-0.5936460598964228,H27-14,957,demo,L,M,1
2,1.0,-0.6204326066975443,H27-14,957,demo,L,M,1
3,1.0,-0.49817482130335683,H27-14,957,demo,L,M,1
-3,11.0,0.018410553597467343,H27-14,957,demo,L,M,1
-2,11.0,-0.13721748903143097,H27-14,957,demo,L,M,1
-1,11.0,0.2386346080804113,H27-14,957,demo,L,M,1
0,11.0,-0.30011813492663003,H27-14,957,demo,L,M,1
1,11.0,-0.024452127994391726,H27-14,957,demo,L,M,1
2,11.0,-0.3363992967198613,H27-14,957,demo,L,M,1
3,11.0,-0.22633945019576535,H27-14,957,demo,L,M,1
-3,1.0,-0.325152084541068,H27-18,1374,demo,L,F,1
-2,1.0,-0.24057876487009225,H27-18,1374,demo,L,F,1
-1,1.0,-0.3499447343091496,H27-18,1374,demo,L,F,1
0,1.0,-0.5145000284214358,H27-18,1374,demo,L,F,1
1,1.0,-0.1357360186650034,H27-18,1374,demo,L,F,1
2,1.0,-0.1654058810634722,H27-18,1374,demo,L,F,1
3,1.0,-0.11201782486133835,H27-18,1374,demo,L,F,1
-3,11.0,-0.18131215535481518,H27-18,1374,demo,L,F,1
-2,11.0,-0.031817294638395104,H27-18,1374,demo,L,F,1
-1,11.0,-0.10742155121099821,H27-18,1374,demo,L,F,1
0,11.0,-0.5698618361309141,H27-18,1374,demo,L,F,1
1,11.0,-0.1117289710981364,H27-18,1374,demo,L,F,1
2,11.0,-0.12389984785884395,H27-18,1374,demo,L,F,1
3,11.0,-0.13309304105859446,H27-18,1374,demo,L,F,1
-3,1.0,-0.34306773628242787,H27-16,1093,demo,L,M,1
-2,1.0,-0.0829308252844015,H27-16,1093,demo,L,M,1
-1,1.0,-0.13253578652327028,H27-16,1093,demo,L,M,1
0,1.0,0.048254734711778734,H27-16,1093,demo,L,M,1
1,1.0,0.06479827529691783,H27-16,1093,demo,L,M,1
2,1.0,-0.31318378284143766,H27-16,1093,demo,L,M,1
3,1.0,-0.5066998380649227,H27-16,1093,demo,L,M,1
-3,11.0,-0.2585660418685662,H27-16,1093,demo,L,M,1
-2,11.0,0.07349465566436228,H27-16,1093,demo,L,M,1
-1,11.0,0.0535485502333401,H27-16,1093,demo,L,M,1
0,11.0,-0.3518252927862069,H27-16,1093,demo,L,M,1
1,11.0,0.5132083178812056,H27-16,1093,demo,L,M,1
2,11.0,-0.14289252603817018,H27-16,1093,demo,L,M,1
3,11.0,-0.4429254458630555,H27-16,1093,demo,L,M,1
-3,1.0,-0.13595228372849896,H27-28,1310,demo,L,F,1
-2,1.0,-0.21009952628792758,H27-28,1310,demo,L,F,1
-1,1.0,0.08060028302937593,H27-28,1310,demo,L,F,1
0,1.0,0.15242412657593782,H27-28,1310,demo,L,F,1
1,1.0,0.004293089811995512,H27-28,1310,demo,L,F,1
2,1.0,-0.15665177403362687,H27-28,1310,demo,L,F,1
3,1.0,-0.3362883642352898,H27-28,1310,demo,L,F,1
-3,11.0,0.011404002728486635,H27-28,1310,demo,L,F,1
-2,11.0,-0.04821293987347527,H27-28,1310,demo,L,F,1
-1,11.0,0.3994514938550687,H27-28,1310,demo,L,F,1
0,11.0,0.10031475363250753,H27-28,1310,demo,L,F,1
1,11.0,0.23271416313612697,H27-28,1310,demo,L,F,1
2,11.0,-0.06390245164036396,H27-28,1310,demo,L,F,1
3,11.0,-0.28289910946518454,H27-28,1310,demo,L,F,1
-3,1.0,0.15413958901003177,H27-02,916,demo,L,M,1
-2,1.0,-0.3987245105091089,H27-02,916,demo,L,M,1
-1,1.0,-0.17993027634473108,H27-02,916,demo,L,M,1
0,1.0,-0.5798499512392734,H27-02,916,demo,L,M,1
1,1.0,0.08926945864926217,H27-02,916,demo,L,M,1
2,1.0,0.5249362039684188,H27-02,916,demo,L,M,1
3,1.0,0.3869988969378153,H27-02,916,demo,L,M,1
-3,11.0,0.17733730286139923,H27-02,916,demo,L,M,1
-2,11.0,-0.45035008157082734,H27-02,916,demo,L,M,1
-1,11.0,-0.23768749464075276,H27-02,916,demo,L,M,1
0,11.0,-0.568544224395779,H27-02,916,demo,L,M,1
1,11.0,0.055801185118753024,H27-02,916,demo,L,M,1
2,11.0,0.5302593146779111,H27-02,916,demo,L,M,1
3,11.0,0.37848224993864,H27-02,916,demo,L,M,1
-3,1.0,-0.31674417653035125,H27-27,1320,demo,L,F,1
-2,1.0,0.021860420227089943,H27-27,1320,demo,L,F,1
-1,1.0,-0.0792870087824974,H27-27,1320,demo,L,F,1
0,1.0,0.12430181318259634,H27-27,1320,demo,L,F,1
1,1.0,-0.4907641194961299,H27-27,1320,demo,L,F,1
2,1.0,-0.7112693321113494,H27-27,1320,demo,L,F,1
3,1.0,-0.531741095622281,H27-27,1320,demo,L,F,1
-3,11.0,-0.257385278227844,H27-27,1320,demo,L,F,1
-2,11.0,0.1398179505367562,H27-27,1320,demo,L,F,1
-1,11.0,0.11242365954965838,H27-27,1320,demo,L,F,1
0,11.0,0.0011511674333856187,H27-27,1320,demo,L,F,1
1,11.0,0.0827011047990507,H27-27,1320,demo,L,F,1
2,11.0,-0.531467368753429,H27-27,1320,demo,L,F,1
3,11.0,-0.30159660247934006,H27-27,1320,demo,L,F,1
-3,1.0,0.06815917095263305,H27-20,1375,demo,L,F,1
-2,1.0,-0.05326849133014691,H27-20,1375,demo,L,F,1
