Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.6931400764160118,H27-07,933,indivi,L,F,1
0,1.0,0.40412108412184683,H27-07,933,indivi,L,F,1
1,1.0,-0.4469409304096632,H27-07,933,indivi,L,F,1
-1,2.62,0.6552360975408033,H27-07,933,indivi,L,F,1
0,2.62,0.45783692439833606,H27-07,933,indivi,L,F,1
1,2.62,-0.2928681527379926,H27-07,933,indivi,L,F,1
-1,4.24,0.7546581458530612,H27-07,933,indivi,L,F,1
0,4.24,-0.11404339597599536,H27-07,933,indivi,L,F,1
1,4.24,-0.2929073478653279,H27-07,933,indivi,L,F,1
-1,5.86,0.6514568488525755,H27-07,933,indivi,L,F,1
0,5.86,-0.09178066956891895,H27-07,933,indivi,L,F,1
1,5.86,-0.3003198070417446,H27-07,933,indivi,L,F,1
-1,7.48,0.8156441257853511,H27-07,933,indivi,L,F,1
0,7.48,-0.02315270741267894,H27-07,933,indivi,L,F,1
1,7.48,-0.36045582395468695,H27-07,933,indivi,L,F,1
-1,9.1,0.8922375235685631,H27-07,933,indivi,L,F,1
0,9.1,-0.01826218611365212,H27-07,933,indivi,L,F,1
1,9.1,-0.26724947164950114,H27-07,933,indivi,L,F,1
-1,10.72,0.7881870425531098,H27-07,933,indivi,L,F,1
0,10.72,-0.15366048042160024,H27-07,933,indivi,L,F,1
1,10.72,-0.17577237193320755,H27-07,933,indivi,L,F,1
-1,12.34,0.7531879904401585,H27-07,933,indivi,L,F,1
0,12.34,-0.2560032137598942,H27-07,933,indivi,L,F,1
1,12.34,-0.32467550310652027,H27-07,933,indivi,L,F,1
-1,13.96,0.44880870320230787,H27-07,933,indivi,L,F,1
0,13.96,0.47505183882758184,H27-07,933,indivi,L,F,1
1,13.96,-0.08886547106694245,H27-07,933,indivi,L,F,1
-1,15.58,-0.47275764233966366,H27-07,933,indivi,L,F,1
0,15.58,0.050268985086208806,H27-07,933,indivi,L,F,1
1,15.58,-0.08210978993486065,H27-07,933,indivi,L,F,1
-1,17.2,-0.28139571646019784,H27-07,933,indivi,L,F,1
