Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.29677937636644736,H27-12,1123,indivi,L,M,1
0,1.0,-0.5871396384444938,H27-12,1123,indivi,L,M,1
1,1.0,0.39051937687151894,H27-12,1123,indivi,L,M,1
-1,2.27,0.7380450179501492,H27-12,1123,indivi,L,M,1
0,2.27,-0.829208834655811,H27-12,1123,indivi,L,M,1
1,2.27,0.7674624585959413,H27-12,1123,indivi,L,M,1
-1,3.54,0.6058819463689541,H27-12,1123,indivi,L,M,1
0,3.54,-0.7819043497675096,H27-12,1123,indivi,L,M,1
1,3.54,0.8403179997299601,H27-12,1123,indivi,L,M,1
-1,4.81,0.6348107542356167,H27-12,1123,indivi,L,M,1
0,4.81,-0.7819043497675096,H27-12,1123,indivi,L,M,1
1,4.81,0.7452662024537829,H27-12,1123,indivi,L,M,1
-1,6.08,0.6032921093258325,H27-12,1123,indivi,L,M,1
0,6.08,-0.7352759278514692,H27-12,1123,indivi,L,M,1
1,6.08,0.7242607070826832,H27-12,1123,indivi,L,M,1
-1,7.35,0.4313184749915943,H27-12,1123,indivi,L,M,1
0,7.35,-0.7097241416662081,H27-12,1123,indivi,L,M,1
1,7.35,0.6114205152423741,H27-12,1123,indivi,L,M,1
-1,8.62,0.5571270934282075,H27-12,1123,indivi,L,M,1
0,8.62,-0.7072886048830724,H27-12,1123,indivi,L,M,1
1,8.62,0.7019890708748175,H27-12,1123,indivi,L,M,1
-1,9.89,0.5305391510506332,H27-12,1123,indivi,L,M,1
0,9.89,-0.7261610912432942,H27-12,1123,indivi,L,M,1
1,9.89,0.6880661602621415,H27-12,1123,indivi,L,M,1
-1,11.16,0.8275483701208948,H27-12,1123,indivi,L,M,1
0,11.16,-0.8602583614176811,H27-12,1123,indivi,L,M,1
1,11.16,0.7589294368366236,H27-12,1123,indivi,L,M,1
-1,12.43,0.847550755500809,H27-12,1123,indivi,L,M,1
0,12.43,-0.8598257083745738,H27-12,1123,indivi,L,M,1
1,12.43,0.8201637144192486,H27-12,1123,indivi,L,M,1
-1,13.7,0.8249014897304268,H27-12,1123,indivi,L,M,1
0,13.7,-0.8634916306003204,H27-12,1123,indivi,L,M,1
1,13.7,0.7753874032504504,H27-12,1123,indivi,L,M,1
-1,14.97,0.9241423977558147,H27-12,1123,indivi,L,M,1
0,14.97,-0.8634916306003203,H27-12,1123,indivi,L,M,1
1,14.97,0.8211786260853159,H27-12,1123,indivi,L,M,1
-1,16.24,0.8871334004797345,H27-12,1123,indivi,L,M,1
0,16.24,-0.9334842582774333,H27-12,1123,indivi,L,M,1
1,16.24,0.8502067398846995,H27-12,1123,indivi,L,M,1
-1,17.51,0.9339701467048761,H27-12,1123,indivi,L,M,1
0,17.51,-0.9612513390092683,H27-12,1123,indivi,L,M,1
