Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.29774700040545216,H27-23,1390,indivi,R,F,1
0,1.0,-0.09389933402195245,H27-23,1390,indivi,R,F,1
1,1.0,0.041024780278937155,H27-23,1390,indivi,R,F,1
-1,2.82,0.4378002062870326,H27-23,1390,indivi,R,F,1
0,2.82,0.6058240149242716,H27-23,1390,indivi,R,F,1
1,2.82,0.05412102781134285,H27-23,1390,indivi,R,F,1
-1,4.64,0.4640994692215519,H27-23,1390,indivi,R,F,1
0,4.64,0.6190397679261519,H27-23,1390,indivi,R,F,1
1,4.64,-0.09570005197567433,H27-23,1390,indivi,R,F,1
-1,6.46,-0.17816276305384404,H27-23,1390,indivi,R,F,1
0,6.46,0.46077586106925833,H27-23,1390,indivi,R,F,1
1,6.46,-0.10048856029841614,H27-23,1390,indivi,R,F,1
-1,8.28,0.09929088001905698,H27-23,1390,indivi,R,F,1
0,8.28,0.04675131121973503,H27-23,1390,indivi,R,F,1
1,8.28,-0.2740517338642574,H27-23,1390,indivi,R,F,1
-1,10.1,0.11689759722116429,H27-23,1390,indivi,R,F,1
0,10.1,0.05673266498171701,H27-23,1390,indivi,R,F,1
1,10.1,-0.24803143698555716,H27-23,1390,indivi,R,F,1
-1,11.92,0.1219950656025352,H27-23,1390,indivi,R,F,1
0,11.92,0.05809288838215931,H27-23,1390,indivi,R,F,1
1,11.92,-0.21286556742958743,H27-23,1390,indivi,R,F,1
-1,13.74,0.4230454729465272,H27-23,1390,indivi,R,F,1
0,13.74,-0.1701569863446504,H27-23,1390,indivi,R,F,1
1,13.74,0.002933741143873336,H27-23,1390,indivi,R,F,1
-1,15.56,0.5045860210200594,H27-23,1390,indivi,R,F,1
0,15.56,-0.5309556294631981,H27-23,1390,indivi,R,F,1
1,15.56,0.3328272200796154,H27-23,1390,indivi,R,F,1
-1,17.38,-0.007263940428766674,H27-23,1390,indivi,R,F,1
0,17.38,-0.5092095613701165,H27-23,1390,indivi,R,F,1
1,17.38,0.3526312899055879,H27-23,1390,indivi,R,F,1
-1,19.2,-0.04144470758008743,H27-23,1390,indivi,R,F,1
0,19.2,-0.5802259061212254,H27-23,1390,indivi,R,F,1
1,19.2,0.3688578974627791,H27-23,1390,indivi,R,F,1
-1,1.0,-0.15544377249954114,H27-23,1390,indivi,L,F,2
0,1.0,-0.05998233193324185,H27-23,1390,indivi,L,F,2
1,1.0,0.0697799100494838,H27-23,1390,indivi,L,F,2
-1,2.82,-0.360426923793406,H27-23,1390,indivi,L,F,2
0,2.82,-0.08930898187279923,H27-23,1390,indivi,L,F,2
1,2.82,0.612632375435067,H27-23,1390,indivi,L,F,2
-1,4.64,-0.4453093260238339,H27-23,1390,indivi,L,F,2
0,4.64,0.1598460463645035,H27-23,1390,indivi,L,F,2
1,4.64,0.41493020831162714,H27-23,1390,indivi,L,F,2
-1,6.46,-0.4869715329588256,H27-23,1390,indivi,L,F,2
0,6.46,0.17747086522677535,H27-23,1390,indivi,L,F,2
1,6.46,0.2753502260762239,H27-23,1390,indivi,L,F,2
-1,8.28,-0.6092019587574881,H27-23,1390,indivi,L,F,2
0,8.28,0.16548228972906473,H27-23,1390,indivi,L,F,2
1,8.28,0.2733702531308567,H27-23,1390,indivi,L,F,2
-1,10.1,-0.6685019677558635,H27-23,1390,indivi,L,F,2
0,10.1,0.17280252653895845,H27-23,1390,indivi,L,F,2
1,10.1,0.17193050555024475,H27-23,1390,indivi,L,F,2
-1,11.92,-0.507440020063151,H27-23,1390,indivi,L,F,2
0,11.92,0.16116695081196414,H27-23,1390,indivi,L,F,2
1,11.92,0.1640746461991516,H27-23,1390,indivi,L,F,2
-1,13.74,-0.5108168814671248,H27-23,1390,indivi,L,F,2
0,13.74,0.16297681074296846,H27-23,1390,indivi,L,F,2
1,13.74,0.005189570437928326,H27-23,1390,indivi,L,F,2
-1,15.56,-0.6225554654891773,H27-23,1390,indivi,L,F,2
0,15.56,0.4250130063739375,H27-23,1390,indivi,L,F,2
1,15.56,-0.19081824530269353,H27-23,1390,indivi,L,F,2
-1,17.38,-0.6260190840236028,H27-23,1390,indivi,L,F,2
0,17.38,0.3930164653062977,H27-23,1390,indivi,L,F,2
1,17.38,-0.2052419318821777,H27-23,1390,indivi,L,F,2
-1,19.2,-0.6290762161176074,H27-23,1390,indivi,L,F,2
0,19.2,0.43677148344546474,H27-23,1390,indivi,L,F,2
1,19.2,-0.22749701126005628,H27-23,1390,indivi,L,F,2
-1,1.0,-0.010294177905411062,H27-23,1390,indivi,L,F,3
0,1.0,-0.107344320548249,H27-23,1390,indivi,L,F,3
1,1.0,0.05473394969329898,H27-23,1390,indivi,L,F,3
-1,2.82,-0.4560957388955962,H27-23,1390,indivi,L,F,3
0,2.82,-0.27701595536254975,H27-23,1390,indivi,L,F,3
1,2.82,0.4940935026842645,H27-23,1390,indivi,L,F,3
-1,4.64,-0.5271332275154565,H27-23,1390,indivi,L,F,3
0,4.64,-0.2993167568123606,H27-23,1390,indivi,L,F,3
