Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.11768464954532357,H27-28,1310,indivi,R,F,1
0,1.0,0.8115443031222153,H27-28,1310,indivi,R,F,1
1,1.0,0.2748528868581928,H27-28,1310,indivi,R,F,1
-1,2.54,0.5935549591387993,H27-28,1310,indivi,R,F,1
0,2.54,0.8911002422273657,H27-28,1310,indivi,R,F,1
1,2.54,0.5207157789342489,H27-28,1310,indivi,R,F,1
-1,4.08,0.3974455092715887,H27-28,1310,indivi,R,F,1
0,4.08,0.6336553588307907,H27-28,1310,indivi,R,F,1
1,4.08,0.7212829479049822,H27-28,1310,indivi,R,F,1
-1,5.62,0.1830007182184664,H27-28,1310,indivi,R,F,1
0,5.62,0.6134336575281512,H27-28,1310,indivi,R,F,1
1,5.62,0.6942113183042712,H27-28,1310,indivi,R,F,1
-1,7.16,0.017606138253611417,H27-28,1310,indivi,R,F,1
0,7.16,0.5631271141613984,H27-28,1310,indivi,R,F,1
1,7.16,0.7266184545868075,H27-28,1310,indivi,R,F,1
-1,8.7,0.0646055708917633,H27-28,1310,indivi,R,F,1
0,8.7,0.5523310623476666,H27-28,1310,indivi,R,F,1
1,8.7,0.623778800617208,H27-28,1310,indivi,R,F,1
-1,10.24,0.17915261977388602,H27-28,1310,indivi,R,F,1
0,10.24,0.6445173271205241,H27-28,1310,indivi,R,F,1
1,10.24,0.6755605928763292,H27-28,1310,indivi,R,F,1
-1,11.78,0.43477974194619917,H27-28,1310,indivi,R,F,1
0,11.78,0.7492423548495044,H27-28,1310,indivi,R,F,1
1,11.78,0.6795723732144889,H27-28,1310,indivi,R,F,1
-1,13.32,0.1806476241753984,H27-28,1310,indivi,R,F,1
0,13.32,0.6575457782051233,H27-28,1310,indivi,R,F,1
1,13.32,0.8016202154679157,H27-28,1310,indivi,R,F,1
-1,14.86,0.4200803463883807,H27-28,1310,indivi,R,F,1
0,14.86,0.5896007220604351,H27-28,1310,indivi,R,F,1
1,14.86,0.3246113219082574,H27-28,1310,indivi,R,F,1
-1,16.4,0.5464379960874564,H27-28,1310,indivi,R,F,1
0,16.4,0.6440773872378797,H27-28,1310,indivi,R,F,1
1,16.4,0.4094002541219502,H27-28,1310,indivi,R,F,1
-1,17.94,0.14333873797810062,H27-28,1310,indivi,R,F,1
0,17.94,0.8256311307538594,H27-28,1310,indivi,R,F,1
1,17.94,0.16340616129503474,H27-28,1310,indivi,R,F,1
-1,19.48,-0.2574526216677954,H27-28,1310,indivi,R,F,1
0,19.48,0.5726269788838827,H27-28,1310,indivi,R,F,1
1,19.48,0.38231986590005135,H27-28,1310,indivi,R,F,1
-1,1.0,0.025604109788690148,H27-28,1310,indivi,L,F,2
0,1.0,-0.4811190862618709,H27-28,1310,indivi,L,F,2
1,1.0,-0.48092060479064197,H27-28,1310,indivi,L,F,2
-1,2.54,-0.014196252554760758,H27-28,1310,indivi,L,F,2
0,2.54,0.39258287341747866,H27-28,1310,indivi,L,F,2
1,2.54,-0.07903726768377403,H27-28,1310,indivi,L,F,2
-1,4.08,-0.033373290489308954,H27-28,1310,indivi,L,F,2
0,4.08,0.32453589987420883,H27-28,1310,indivi,L,F,2
1,4.08,0.3228512999450076,H27-28,1310,indivi,L,F,2
-1,5.62,-0.08634971394277553,H27-28,1310,indivi,L,F,2
0,5.62,0.33228244352663167,H27-28,1310,indivi,L,F,2
1,5.62,0.30495658468398096,H27-28,1310,indivi,L,F,2
-1,7.16,-0.3307332487817742,H27-28,1310,indivi,L,F,2
0,7.16,0.4368472957279197,H27-28,1310,indivi,L,F,2
1,7.16,0.41856433743897314,H27-28,1310,indivi,L,F,2
-1,8.7,-0.5303912480287881,H27-28,1310,indivi,L,F,2
0,8.7,0.10549324162944868,H27-28,1310,indivi,L,F,2
1,8.7,0.5015244610010935,H27-28,1310,indivi,L,F,2
-1,10.24,-0.06668011007653628,H27-28,1310,indivi,L,F,2
0,10.24,0.7285050832242463,H27-28,1310,indivi,L,F,2
1,10.24,-0.23122406330022735,H27-28,1310,indivi,L,F,2
-1,11.78,0.3142050219378457,H27-28,1310,indivi,L,F,2
0,11.78,0.8192838302470973,H27-28,1310,indivi,L,F,2
1,11.78,0.2078016030177804,H27-28,1310,indivi,L,F,2
-1,13.32,0.5047277446256225,H27-28,1310,indivi,L,F,2
0,13.32,0.803199599786436,H27-28,1310,indivi,L,F,2
1,13.32,0.24332738967329257,H27-28,1310,indivi,L,F,2
-1,14.86,0.5526489832884627,H27-28,1310,indivi,L,F,2
0,14.86,0.7497188380670479,H27-28,1310,indivi,L,F,2
1,14.86,-0.0963066315172972,H27-28,1310,indivi,L,F,2
-1,16.4,0.6091549017284568,H27-28,1310,indivi,L,F,2
0,16.4,0.7687568204943355,H27-28,1310,indivi,L,F,2
1,16.4,-0.19673626833628657,H27-28,1310,indivi,L,F,2
-1,17.94,0.4767742551935449,H27-28,1310,indivi,L,F,2
0,17.94,0.6292372124863195,H27-28,1310,indivi,L,F,2
1,17.94,-0.2089066175462826,H27-28,1310,indivi,L,F,2
-1,19.48,0.2788104467801479,H27-28,1310,indivi,L,F,2
0,19.48,0.6292372124863195,H27-28,1310,indivi,L,F,2
1,19.48,-0.03053369121116668,H27-28,1310,indivi,L,F,2
-1,1.0,-0.402589219412674,H27-28,1310,indivi,R,F,3
0,1.0,0.26976543216923804,H27-28,1310,indivi,R,F,3
1,1.0,-0.4212568409060675,H27-28,1310,indivi,R,F,3
-1,2.54,-0.17733313072111725,H27-28,1310,indivi,R,F,3
0,2.54,0.48794848707976207,H27-28,1310,indivi,R,F,3
