Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.6046369709666896,H27-05,909,indivi,R,F,1
0,1.0,-0.021818377241016564,H27-05,909,indivi,R,F,1
1,1.0,-0.2978728147729487,H27-05,909,indivi,R,F,1
-1,8.0,-0.4921035773186491,H27-05,909,indivi,R,F,1
0,8.0,0.8053605465999195,H27-05,909,indivi,R,F,1
1,8.0,0.2768747165236699,H27-05,909,indivi,R,F,1
-1,15.0,-0.009750376153315298,H27-05,909,indivi,R,F,1
0,15.0,0.6210352924651935,H27-05,909,indivi,R,F,1
1,15.0,-0.5597716417018807,H27-05,909,indivi,R,F,1
-1,1.0,0.025039644363609333,H27-05,909,indivi,L,F,2
0,1.0,0.7359695759549517,H27-05,909,indivi,L,F,2
1,1.0,0.495107698801617,H27-05,909,indivi,L,F,2
-1,8.0,0.0773000396548997,H27-05,909,indivi,L,F,2
0,8.0,-0.6874765136235027,H27-05,909,indivi,L,F,2
1,8.0,0.4964011078171509,H27-05,909,indivi,L,F,2
-1,15.0,-0.26102334489797097,H27-05,909,indivi,L,F,2
0,15.0,-0.7040624863676479,H27-05,909,indivi,L,F,2
1,15.0,0.7167286023614281,H27-05,909,indivi,L,F,2
-1,1.0,-0.16451817659836945,H27-05,909,indivi,L,F,3
0,1.0,-0.2120753955945842,H27-05,909,indivi,L,F,3
1,1.0,0.7804168043036812,H27-05,909,indivi,L,F,3
-1,8.0,0.5560042342062335,H27-05,909,indivi,L,F,3
0,8.0,-0.1486315425365115,H27-05,909,indivi,L,F,3
1,8.0,-0.46910244034843473,H27-05,909,indivi,L,F,3
-1,15.0,0.501865023832631,H27-05,909,indivi,L,F,3
0,15.0,0.6500249129789339,H27-05,909,indivi,L,F,3
1,15.0,-0.35781365127255954,H27-05,909,indivi,L,F,3
-1,1.0,0.6904743547619286,H27-05,909,indivi,R,F,4
0,1.0,0.5988115068764646,H27-05,909,indivi,R,F,4
1,1.0,0.13025236831293732,H27-05,909,indivi,R,F,4
-1,8.0,-0.710551323244757,H27-05,909,indivi,R,F,4
0,8.0,-0.19209751820615997,H27-05,909,indivi,R,F,4
1,8.0,0.07344383207599461,H27-05,909,indivi,R,F,4
-1,15.0,0.2841439400763893,H27-05,909,indivi,R,F,4
0,15.0,0.34237984890852946,H27-05,909,indivi,R,F,4
1,15.0,-0.16154597787543054,H27-05,909,indivi,R,F,4
-1,1.0,-0.026255989246842422,H27-05,909,joint,L,F,1
0,1.0,0.3811132663383686,H27-05,909,joint,L,F,1
1,1.0,0.627527063494182,H27-05,909,joint,L,F,1
-1,8.0,0.015818351353454694,H27-05,909,joint,L,F,1
0,8.0,0.027171963363221575,H27-05,909,joint,L,F,1
1,8.0,-0.6754053360550737,H27-05,909,joint,L,F,1
-1,15.0,0.25034840548283516,H27-05,909,joint,L,F,1
0,15.0,0.47469603840891694,H27-05,909,joint,L,F,1
1,15.0,-0.3398955954461062,H27-05,909,joint,L,F,1
-1,1.0,-0.018332743504934745,H27-05,909,joint,R,F,2
0,1.0,-0.5987610516142126,H27-05,909,joint,R,F,2
1,1.0,-0.378295076528855,H27-05,909,joint,R,F,2
-1,8.0,-0.12189081708644199,H27-05,909,joint,R,F,2
0,8.0,-0.5875182612070062,H27-05,909,joint,R,F,2
1,8.0,0.15637755104874698,H27-05,909,joint,R,F,2
-1,15.0,-0.15933975333490477,H27-05,909,joint,R,F,2
0,15.0,-0.19661421815298755,H27-05,909,joint,R,F,2
