Lag,variable,value,ID,age,cnt,exp,first_turn,sex,trial_num
-1,1,0.10437313984691755,H27-16,1093,15,indivi,L,M,1
0,1,0.08442023091556146,H27-16,1093,15,indivi,L,M,1
1,1,-0.1716906486437997,H27-16,1093,14,indivi,L,M,1
-1,1,0.19043388670329991,H27-16,1093,13,indivi,R,M,2
0,1,0.7343080147632992,H27-16,1093,14,indivi,R,M,2
1,1,0.8706135970676104,H27-16,1093,13,indivi,R,M,2
-1,1,0.5440504915644383,H27-16,1093,16,indivi,L,M,3
0,1,0.09508775992787409,H27-16,1093,17,indivi,L,M,3
1,1,0.19634156857656265,H27-16,1093,16,indivi,L,M,3
-1,1,-0.20352229005959863,H27-16,1093,17,indivi,R,M,4
0,1,0.21213830717047127,H27-16,1093,17,indivi,R,M,4
1,1,0.45957382739368074,H27-16,1093,16,indivi,R,M,4
-1,1,0.48763877676748607,H27-16,1093,19,joint,R,M,1
0,1,0.18652737589001497,H27-16,1093,20,joint,R,M,1
1,1,-0.07414585556882863,H27-16,1093,19,joint,R,M,1
-1,1,-0.23605421905305785,H27-16,1093,20,joint,L,M,2
0,1,-0.20856999160154058,H27-16,1093,21,joint,L,M,2
1,1,-0.6171626030258083,H27-16,1093,20,joint,L,M,2
-1,1,0.016598877248435385,H27-16,1093,17,joint,R,M,3
0,1,-0.006632562951695796,H27-16,1093,17,joint,R,M,3
1,1,0.051684836107956024,H27-16,1093,16,joint,R,M,3
-1,1,-0.4266492766945796,H27-16,1093,7,joint,L,M,4
0,1,-0.05748536105124053,H27-16,1093,9,joint,L,M,4
1,1,0.16799053336904476,H27-16,1093,8,joint,L,M,4
-1,1,0.5369860995135021,H27-16,1093,19,prac,L,M,1
0,1,0.23949797433213735,H27-16,1093,20,prac,L,M,1
1,1,-0.07960658285935593,H27-16,1093,19,prac,L,M,1
-1,1,0.48628540434591033,H27-42,916,4,indivi,L,F,1
0,1,-0.7831969288799233,H27-42,916,6,indivi,L,F,1
1,1,-0.209189900097155,H27-42,916,6,indivi,L,F,1
-1,1,-0.04978578080927551,H27-42,916,7,indivi,R,F,2
0,1,-0.6782539408556588,H27-42,916,6,indivi,R,F,2
1,1,-0.43635313957107147,H27-42,916,5,indivi,R,F,2
-1,1,-0.6807739484792711,H27-42,916,5,indivi,R,F,3
0,1,-0.4698446098832078,H27-42,916,6,indivi,R,F,3
1,1,-0.7422201406514641,H27-42,916,5,indivi,R,F,3
-1,1,0.9605536188581876,H27-42,916,4,indivi,L,F,4
0,1,0.9999465890009601,H27-42,916,3,indivi,L,F,4
1,1,-0.7329134343607973,H27-42,916,3,indivi,L,F,4
-1,1,-0.47279231208952255,H27-42,916,10,joint,L,F,1
0,1,0.39352027884822555,H27-42,916,11,joint,L,F,1
1,1,-0.05013162009452783,H27-42,916,10,joint,L,F,1
-1,1,0.264599575329807,H27-42,916,10,joint,R,F,2
0,1,-0.12332628055668358,H27-42,916,10,joint,R,F,2
1,1,-0.7067789111120394,H27-42,916,10,joint,R,F,2
-1,1,-0.12669117563034676,H27-42,916,11,joint,L,F,3
0,1,0.5550631415226791,H27-42,916,12,joint,L,F,3
1,1,0.08873690236258462,H27-42,916,11,joint,L,F,3
-1,1,-0.07188925851269902,H27-42,916,7,joint,R,F,4
0,1,-0.14866787188928687,H27-42,916,7,joint,R,F,4
1,1,-0.6621116387035456,H27-42,916,7,joint,R,F,4
-1,1,0.07854631249534816,H27-42,916,17,prac,L,F,1
0,1,0.2334806880945807,H27-42,916,18,prac,L,F,1
1,1,-0.027959915744583074,H27-42,916,17,prac,L,F,1
-1,1,-0.23828071308047938,H27-07,933,6,indivi,L,F,1
0,1,0.14736316106008063,H27-07,933,8,indivi,L,F,1
1,1,0.1549596232457624,H27-07,933,5,indivi,L,F,1
-1,1,-0.2976352660911895,H27-07,933,7,indivi,R,F,2
0,1,0.6330733845292346,H27-07,933,6,indivi,R,F,2
1,1,0.7335100681719979,H27-07,933,6,indivi,R,F,2
-1,1,-0.05842745289035409,H27-07,933,8,indivi,L,F,3
0,1,-0.41583693021560303,H27-07,933,10,indivi,L,F,3
1,1,0.6732492551458059,H27-07,933,7,indivi,L,F,3
-1,1,-0.6965634310908686,H27-07,933,4,indivi,R,F,4
0,1,-0.8056718246285591,H27-07,933,5,indivi,R,F,4
1,1,0.8719569574673597,H27-07,933,6,indivi,R,F,4
-1,1,-0.14682834367719655,H27-07,933,15,joint,L,F,1
0,1,-0.35181780064105794,H27-07,933,16,joint,L,F,1
1,1,0.3301708328288264,H27-07,933,16,joint,L,F,1
-1,1,-0.25799780630564656,H27-07,933,15,joint,R,F,2
0,1,-0.29000256153446824,H27-07,933,16,joint,R,F,2
1,1,-0.22271385626428136,H27-07,933,15,joint,R,F,2
-1,1,-0.48537736278087784,H27-07,933,15,joint,L,F,3
0,1,-0.1686677249344782,H27-07,933,15,joint,L,F,3
1,1,0.462120828099938,H27-07,933,16,joint,L,F,3
-1,1,-0.30715485719410074,H27-07,933,13,joint,R,F,4
0,1,0.0772197359700234,H27-07,933,14,joint,R,F,4
1,1,0.2865820412109479,H27-07,933,13,joint,R,F,4
-1,1,-0.411330312068645,H27-07,933,14,prac,L,F,1
0,1,0.23015208166642687,H27-07,933,14,prac,L,F,1
1,1,-0.2604561587221488,H27-07,933,14,prac,L,F,1
-1,1,0.7201114505498847,H27-36,1105,19,indivi,L,F,1
0,1,0.7843760017666016,H27-36,1105,20,indivi,L,F,1
1,1,0.45965934260917835,H27-36,1105,19,indivi,L,F,1
-1,1,0.2832715899721238,H27-36,1105,19,indivi,R,F,2
0,1,0.3215714442901926,H27-36,1105,19,indivi,R,F,2
1,1,0.2079897222658659,H27-36,1105,18,indivi,R,F,2
-1,1,0.5931703738653062,H27-36,1105,19,indivi,L,F,3
0,1,0.6107790313190353,H27-36,1105,20,indivi,L,F,3
1,1,0.35388035490515846,H27-36,1105,19,indivi,L,F,3
-1,1,0.38173962131807143,H27-36,1105,18,indivi,R,F,4
0,1,0.4858666461852133,H27-36,1105,19,indivi,R,F,4
1,1,0.8257082121376044,H27-36,1105,18,indivi,R,F,4
-1,1,-0.5649950693466504,H27-36,1105,16,joint,L,F,1
0,1,0.5721942703926133,H27-36,1105,17,joint,L,F,1
1,1,0.2591212702387376,H27-36,1105,16,joint,L,F,1
-1,1,-0.030398620438140574,H27-36,1105,16,joint,R,F,2
0,1,-0.05631477408453377,H27-36,1105,16,joint,R,F,2
1,1,-0.41887169103923694,H27-36,1105,16,joint,R,F,2
-1,1,-0.13106100954840452,H27-36,1105,14,joint,R,F,3
0,1,-0.2636909451339914,H27-36,1105,15,joint,R,F,3
1,1,-0.13026125506276692,H27-36,1105,14,joint,R,F,3
-1,1,-0.07074942495522002,H27-36,1105,14,joint,L,F,4
0,1,-0.2658786566027782,H27-36,1105,15,joint,L,F,4
1,1,-0.03158957497818044,H27-36,1105,14,joint,L,F,4
-1,1,-0.16881341036310893,H27-36,1105,19,prac,L,F,1
0,1,-0.2605381703331478,H27-36,1105,20,prac,L,F,1
1,1,-0.2864778374853797,H27-36,1105,19,prac,L,F,1
-1,1,-0.11494875143776327,H27-14,957,16,indivi,L,M,1
0,1,-0.11743488140018435,H27-14,957,17,indivi,L,M,1
1,1,0.08960989517376873,H27-14,957,16,indivi,L,M,1
-1,1,0.47612232865808835,H27-14,957,16,indivi,R,M,2
0,1,-0.10701856360296627,H27-14,957,17,indivi,R,M,2
1,1,0.33783664359135773,H27-14,957,16,indivi,R,M,2
-1,1,-0.3825719878415032,H27-14,957,12,indivi,R,M,3
0,1,-0.2703063209900049,H27-14,957,11,indivi,R,M,3
1,1,-0.17914599142671858,H27-14,957,10,indivi,R,M,3
-1,1,-0.5768557020472082,H27-14,957,9,indivi,L,M,4
0,1,-0.6567836575850946,H27-14,957,10,indivi,L,M,4
1,1,0.519436466217476,H27-14,957,8,indivi,L,M,4
-1,1,0.24468459307258034,H27-14,957,5,joint,R,M,1
0,1,-0.39837579057119665,H27-14,957,5,joint,R,M,1
1,1,0.0868395328913438,H27-14,957,4,joint,R,M,1
-1,1,1.0,H27-14,957,2,joint,L,M,2
0,1,0.9493244262726336,H27-14,957,3,joint,L,M,2
1,1,-0.6509261674189837,H27-14,957,3,joint,L,M,2
-1,1,0.21715299839592875,H27-14,957,5,joint,R,M,3
0,1,0.013592163717258894,H27-14,957,6,joint,R,M,3
1,1,0.4365027598282375,H27-14,957,5,joint,R,M,3
-1,1,0.9995205615678657,H27-14,957,4,joint,L,M,4
0,1,0.8764155944288904,H27-14,957,6,joint,L,M,4
1,1,-0.026740295208355316,H27-14,957,6,joint,L,M,4
-1,1,0.1406746710259712,H27-14,957,13,prac,L,M,1
0,1,0.541244344366507,H27-14,957,14,prac,L,M,1
1,1,0.24741560098707757,H27-14,957,13,prac,L,M,1
-1,1,-0.5530870520148318,H27-09,1083,4,indivi,R,F,1
0,1,-0.804369972912591,H27-09,1083,3,indivi,R,F,1
1,1,-1.0,H27-09,1083,2,indivi,R,F,1
-1,1,1.0,H27-09,1083,2,indivi,L,F,2
0,1,0.0,H27-09,1083,3,indivi,L,F,2
1,1,0.1790067037277098,H27-09,1083,5,indivi,L,F,2
-1,1,0.9663221562250305,H27-09,1083,4,indivi,L,F,3
0,1,0.0,H27-09,1083,2,indivi,L,F,3
1,1,-0.8312274911658976,H27-09,1083,4,indivi,L,F,3
-1,1,-0.11465274333099443,H27-09,1083,8,indivi,R,F,4
0,1,0.319567960325908,H27-09,1083,9,indivi,R,F,4
1,1,-0.4185384633594668,H27-09,1083,6,indivi,R,F,4
-1,1,0.2787301183563366,H27-09,1083,8,joint,L,F,1
0,1,0.07411928616049518,H27-09,1083,9,joint,L,F,1
1,1,0.19970075815675575,H27-09,1083,8,joint,L,F,1
-1,1,-0.9945175776927766,H27-09,1083,4,joint,R,F,2
0,1,0.9993961570203393,H27-09,1083,4,joint,R,F,2
1,1,-0.5576189073395619,H27-09,1083,4,joint,R,F,2
-1,1,0.4730619671263832,H27-09,1083,9,joint,R,F,3
0,1,0.8616613592109331,H27-09,1083,10,joint,R,F,3
1,1,0.6920943756723539,H27-09,1083,9,joint,R,F,3
-1,1,-0.4493721532757834,H27-09,1083,7,joint,L,F,4
0,1,0.3079064718542876,H27-09,1083,8,joint,L,F,4
1,1,-0.3370272459506355,H27-09,1083,9,joint,L,F,4
-1,1,0.7202434340212773,H27-09,1083,14,prac,L,F,1
0,1,0.5217890993992136,H27-09,1083,16,prac,L,F,1
1,1,0.454051410993488,H27-09,1083,14,prac,L,F,1
-1,1,-0.21734299289643214,H27-35,1094,12,indivi,L,F,1
0,1,0.35337196198693943,H27-35,1094,13,indivi,L,F,1
1,1,0.4139195568038514,H27-35,1094,12,indivi,L,F,1
-1,1,-0.14879228104513498,H27-35,1094,14,indivi,R,F,2
0,1,-0.13407268502387007,H27-35,1094,14,indivi,R,F,2
1,1,0.4845243602146044,H27-35,1094,13,indivi,R,F,2
-1,1,0.3217070681075455,H27-35,1094,12,indivi,L,F,3
0,1,-0.07897759378474001,H27-35,1094,13,indivi,L,F,3
1,1,-0.21796505790740422,H27-35,1094,12,indivi,L,F,3
-1,1,0.505568854728984,H27-35,1094,10,indivi,R,F,4
0,1,0.6606673526662753,H27-35,1094,11,indivi,R,F,4
1,1,0.304134864607428,H27-35,1094,9,indivi,R,F,4
-1,1,0.0755398929629079,H27-35,1094,15,joint,L,F,1
0,1,0.1091657845759547,H27-35,1094,16,joint,L,F,1
1,1,0.15843293788439766,H27-35,1094,15,joint,L,F,1
-1,1,0.28842221918931843,H27-35,1094,15,joint,R,F,2
0,1,-0.2316964323141745,H27-35,1094,16,joint,R,F,2
1,1,0.1382448203048892,H27-35,1094,16,joint,R,F,2
-1,1,-0.23329746792200132,H27-35,1094,12,joint,R,F,3
0,1,0.26879967072927086,H27-35,1094,13,joint,R,F,3
1,1,-0.08615560779464852,H27-35,1094,12,joint,R,F,3
-1,1,-0.2556585740247213,H27-35,1094,13,joint,L,F,4
0,1,0.2898103776546042,H27-35,1094,15,joint,L,F,4
1,1,0.19726272800999858,H27-35,1094,14,joint,L,F,4
-1,1,0.368466233509246,H27-35,1094,16,prac,L,F,1
0,1,0.12432178732341789,H27-35,1094,17,prac,L,F,1
1,1,0.07793829731958977,H27-35,1094,16,prac,L,F,1
-1,1,-0.24000262451359924,H27-41,916,8,indivi,L,M,1
0,1,-0.056588810702610404,H27-41,916,9,indivi,L,M,1
1,1,-0.26580849516636007,H27-41,916,9,indivi,L,M,1
-1,1,-0.35358801357839026,H27-41,916,10,indivi,R,M,2
0,1,0.09616039091480597,H27-41,916,12,indivi,R,M,2
1,1,0.716059885426171,H27-41,916,11,indivi,R,M,2
-1,1,0.03963100012777027,H27-41,916,12,indivi,R,M,3
0,1,-0.2866008743868924,H27-41,916,12,indivi,R,M,3
1,1,-0.010438224054031374,H27-41,916,13,indivi,R,M,3
-1,1,0.6848226937109962,H27-41,916,12,indivi,L,M,4
0,1,0.9576901291834712,H27-41,916,13,indivi,L,M,4
1,1,0.8842910856328405,H27-41,916,11,indivi,L,M,4
-1,1,0.5912355011343232,H27-41,916,4,joint,L,M,1
0,1,0.03423802600012156,H27-41,916,6,joint,L,M,1
1,1,0.9854743202124095,H27-41,916,5,joint,L,M,1
-1,1,-0.2808593726715916,H27-41,916,7,joint,R,M,2
0,1,-0.16988979780906927,H27-41,916,7,joint,R,M,2
1,1,-0.3598993985530369,H27-41,916,8,joint,R,M,2
-1,1,-0.6219279836268451,H27-41,916,8,joint,R,M,3
0,1,-0.3169536278044245,H27-41,916,8,joint,R,M,3
1,1,0.467371586482156,H27-41,916,8,joint,R,M,3
-1,1,0.6637899597875744,H27-41,916,9,joint,L,M,4
0,1,0.9782583593606244,H27-41,916,9,joint,L,M,4
1,1,-0.09574899517871423,H27-41,916,9,joint,L,M,4
-1,1,0.32396410131513126,H27-41,916,14,prac,L,M,1
0,1,-0.5076336756715336,H27-41,916,14,prac,L,M,1
1,1,-0.36570343547767464,H27-41,916,14,prac,L,M,1
-1,1,0.8041420713804164,H27-39,1110,3,indivi,L,M,1
0,1,0.7175973652530936,H27-39,1110,5,indivi,L,M,1
1,1,0.8957164493730109,H27-39,1110,4,indivi,L,M,1
-1,1,0.8118795120321319,H27-39,1110,6,indivi,R,M,2
0,1,-0.47266675747785036,H27-39,1110,7,indivi,R,M,2
1,1,0.9030546501442939,H27-39,1110,4,indivi,R,M,2
-1,1,-0.6174820888851148,H27-39,1110,3,indivi,L,M,3
0,1,-0.7258495157918027,H27-39,1110,3,indivi,L,M,3
1,1,-0.18996996963856466,H27-39,1110,5,indivi,L,M,3
