Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,0.5660997158785459,H27-14,957,indivi,M,1
-2,1.0,0.1560436307376336,H27-14,957,indivi,M,1
-1,1.0,-0.145422249677407,H27-14,957,indivi,M,1
0,1.0,-0.6559938024497328,H27-14,957,indivi,M,1
1,1.0,-0.7272265500646458,H27-14,957,indivi,M,1
2,1.0,-0.9376392523946389,H27-14,957,indivi,M,1
3,1.0,-0.7954688436927504,H27-14,957,indivi,M,1
-3,2.29,0.46586882587576545,H27-14,957,indivi,M,1
-2,2.29,-0.15910658648791254,H27-14,957,indivi,M,1
-1,2.29,-0.7513787928410106,H27-14,957,indivi,M,1
0,2.29,-0.5510930098969361,H27-14,957,indivi,M,1
1,2.29,-0.5095750169256053,H27-14,957,indivi,M,1
2,2.29,-0.8773047698854375,H27-14,957,indivi,M,1
3,2.29,-0.6934441213894658,H27-14,957,indivi,M,1
-3,3.58,0.1892367266335458,H27-14,957,indivi,M,1
-2,3.58,-0.91820005167426,H27-14,957,indivi,M,1
-1,3.58,-0.6386133278379617,H27-14,957,indivi,M,1
0,3.58,-0.2258129788484945,H27-14,957,indivi,M,1
1,3.58,-0.29565859099333947,H27-14,957,indivi,M,1
2,3.58,-0.3687510503178014,H27-14,957,indivi,M,1
3,3.58,-0.32307032836390737,H27-14,957,indivi,M,1
-3,4.87,-0.61213336778284,H27-14,957,indivi,M,1
-2,4.87,-0.8611603966299788,H27-14,957,indivi,M,1
-1,4.87,-0.15054198589899637,H27-14,957,indivi,M,1
0,4.87,-0.20218579234972686,H27-14,957,indivi,M,1
1,4.87,-0.3032786885245902,H27-14,957,indivi,M,1
2,4.87,-0.3970850133802485,H27-14,957,indivi,M,1
3,4.87,-0.5287149991253307,H27-14,957,indivi,M,1
-3,6.16,,H27-14,957,indivi,M,1
-2,6.16,,H27-14,957,indivi,M,1
-1,6.16,,H27-14,957,indivi,M,1
0,6.16,,H27-14,957,indivi,M,1
1,6.16,-0.25475743354822633,H27-14,957,indivi,M,1
2,6.16,-0.38213615032233955,H27-14,957,indivi,M,1
3,6.16,-0.5336892448399676,H27-14,957,indivi,M,1
-3,7.45,-0.15054198589899637,H27-14,957,indivi,M,1
-2,7.45,0.5081967213114754,H27-14,957,indivi,M,1
-1,7.45,0.40761189367716205,H27-14,957,indivi,M,1
0,7.45,-0.2547574335482264,H27-14,957,indivi,M,1
1,7.45,,H27-14,957,indivi,M,1
2,7.45,-0.25475743354822633,H27-14,957,indivi,M,1
3,7.45,-0.4203497653545733,H27-14,957,indivi,M,1
-3,8.74,0.22950819672131142,H27-14,957,indivi,M,1
-2,8.74,0.611417840515743,H27-14,957,indivi,M,1
-1,8.74,0.11464084509670174,H27-14,957,indivi,M,1
0,8.74,-0.38213615032233955,H27-14,957,indivi,M,1
1,8.74,-0.2547574335482264,H27-14,957,indivi,M,1
2,8.74,,H27-14,957,indivi,M,1
3,8.74,-0.3057089202578714,H27-14,957,indivi,M,1
-3,10.03,0.4396219798550574,H27-14,957,indivi,M,1
-2,10.03,0.12585256678203594,H27-14,957,indivi,M,1
-1,10.03,-0.16550474535719817,H27-14,957,indivi,M,1
0,10.03,-0.47216218290775475,H27-14,957,indivi,M,1
1,10.03,-0.3949337353443293,H27-14,957,indivi,M,1
2,10.03,-0.2632891568962196,H27-14,957,indivi,M,1
3,10.03,,H27-14,957,indivi,M,1
-3,11.32,0.17060055689041118,H27-14,957,indivi,M,1
-2,11.32,-0.08814362106004588,H27-14,957,indivi,M,1
-1,11.32,-0.3442730573445991,H27-14,957,indivi,M,1
0,11.32,-0.6075267994050851,H27-14,957,indivi,M,1
1,11.32,-0.48808037081389444,H27-14,957,indivi,M,1
2,11.32,-0.408248290463863,H27-14,957,indivi,M,1
3,11.32,-0.27216552697590873,H27-14,957,indivi,M,1
-3,12.61,0.1706005568904112,H27-14,957,indivi,M,1
-2,12.61,-0.100833113029799,H27-14,957,indivi,M,1
-1,12.61,-0.3607190371467693,H27-14,957,indivi,M,1
0,12.61,-0.4871051007122501,H27-14,957,indivi,M,1
1,12.61,-0.48710510071225005,H27-14,957,indivi,M,1
2,12.61,-0.3913348981703941,H27-14,957,indivi,M,1
3,12.61,-0.32732683535398854,H27-14,957,indivi,M,1
-3,13.9,0.1613329808476782,H27-14,957,indivi,M,1
-2,13.9,-0.1139112748884535,H27-14,957,indivi,M,1
-1,13.9,-0.2232565044931146,H27-14,957,indivi,M,1
0,13.9,-0.3720326659021624,H27-14,957,indivi,M,1
1,13.9,-0.3720326659021622,H27-14,957,indivi,M,1
2,13.9,-0.3720326659021622,H27-14,957,indivi,M,1
3,13.9,-0.29888696549061106,H27-14,957,indivi,M,1
-3,15.19,0.05449244921808797,H27-14,957,indivi,M,1
-2,15.19,-0.03953009620066321,H27-14,957,indivi,M,1
-1,15.19,-0.13347869541883975,H27-14,957,indivi,M,1
0,15.19,-0.44333995264114623,H27-14,957,indivi,M,1
1,15.19,-0.37203266590216233,H27-14,957,indivi,M,1
2,15.19,-0.3720326659021622,H27-14,957,indivi,M,1
3,15.19,-0.3720326659021622,H27-14,957,indivi,M,1
