Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,-0.18684620806418584,H27-02,916,demo,L,M,1
0,1.0,-0.7641427378915456,H27-02,916,demo,L,M,1
1,1.0,0.09582354818835487,H27-02,916,demo,L,M,1
-1,3.33,-0.05643894586757994,H27-02,916,demo,L,M,1
0,3.33,-0.7729716565441677,H27-02,916,demo,L,M,1
1,3.33,-0.11279907159778163,H27-02,916,demo,L,M,1
-1,5.66,-0.2553532794842879,H27-02,916,demo,L,M,1
0,5.66,-0.8004980511295122,H27-02,916,demo,L,M,1
1,5.66,-0.528564797277761,H27-02,916,demo,L,M,1
-1,7.99,-0.1557164956598328,H27-02,916,demo,L,M,1
0,7.99,-0.7191872601559834,H27-02,916,demo,L,M,1
1,7.99,-0.528564797277761,H27-02,916,demo,L,M,1
-1,10.32,-0.17599772094525795,H27-02,916,demo,L,M,1
0,10.32,-0.7958244428067025,H27-02,916,demo,L,M,1
1,10.32,-0.5277916004130213,H27-02,916,demo,L,M,1
-1,12.65,-0.2372958128983454,H27-02,916,demo,L,M,1
0,12.65,-0.7705826380858696,H27-02,916,demo,L,M,1
1,12.65,-0.5048850649288242,H27-02,916,demo,L,M,1
-1,14.98,-0.07632524565566218,H27-02,916,demo,L,M,1
0,14.98,-0.6340524207475897,H27-02,916,demo,L,M,1
1,14.98,-0.5169386155901416,H27-02,916,demo,L,M,1
-1,17.31,0.11403425809470319,H27-02,916,demo,L,M,1
0,17.31,-0.5734227764477036,H27-02,916,demo,L,M,1
1,17.31,-0.46584807160337666,H27-02,916,demo,L,M,1
-1,19.64,0.2664843630574116,H27-02,916,demo,L,M,1
0,19.64,-0.3781264440165979,H27-02,916,demo,L,M,1
1,19.64,-0.40705164998505067,H27-02,916,demo,L,M,1
