Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,0.19134795674365446,H27-07,933,demo,L,F,1
-2,1.0,0.1891629019562681,H27-07,933,demo,L,F,1
-1,1.0,0.06864303448491543,H27-07,933,demo,L,F,1
0,1.0,-0.18551387789086848,H27-07,933,demo,L,F,1
1,1.0,-0.02824224852303325,H27-07,933,demo,L,F,1
2,1.0,0.02606867809434604,H27-07,933,demo,L,F,1
3,1.0,-0.1473139245700109,H27-07,933,demo,L,F,1
-3,2.9,0.162710266788099,H27-07,933,demo,L,F,1
-2,2.9,0.14955401542273716,H27-07,933,demo,L,F,1
-1,2.9,-0.04352888042636176,H27-07,933,demo,L,F,1
0,2.9,-0.19188638355987386,H27-07,933,demo,L,F,1
1,2.9,-0.29542638234829455,H27-07,933,demo,L,F,1
2,2.9,-0.08074446308588717,H27-07,933,demo,L,F,1
3,2.9,-0.271632376201785,H27-07,933,demo,L,F,1
-3,4.8,0.11446947659322766,H27-07,933,demo,L,F,1
-2,4.8,0.09922419306825601,H27-07,933,demo,L,F,1
-1,4.8,-0.049196667983713194,H27-07,933,demo,L,F,1
0,4.8,-0.19839206790580152,H27-07,933,demo,L,F,1
1,4.8,-0.30243021115266194,H27-07,933,demo,L,F,1
2,4.8,-0.4059197959301592,H27-07,933,demo,L,F,1
3,4.8,-0.46996946071447393,H27-07,933,demo,L,F,1
-3,6.7,0.062352079635492975,H27-07,933,demo,L,F,1
-2,6.7,0.12485201351449964,H27-07,933,demo,L,F,1
-1,6.7,-0.011087065834288727,H27-07,933,demo,L,F,1
0,6.7,-0.08636793473573452,H27-07,933,demo,L,F,1
1,6.7,-0.2622896695016388,H27-07,933,demo,L,F,1
2,6.7,-0.37731305125985776,H27-07,933,demo,L,F,1
3,6.7,-0.18916424193854167,H27-07,933,demo,L,F,1
-3,8.6,0.08999455804233765,H27-07,933,demo,L,F,1
-2,8.6,0.14880072820708976,H27-07,933,demo,L,F,1
-1,8.6,0.08501850427189034,H27-07,933,demo,L,F,1
0,8.6,0.0075507356811579775,H27-07,933,demo,L,F,1
1,8.6,-0.15793894950239812,H27-07,933,demo,L,F,1
2,8.6,-0.3535687667666262,H27-07,933,demo,L,F,1
3,8.6,-0.13718555911157312,H27-07,933,demo,L,F,1
-3,10.5,0.11854751238167534,H27-07,933,demo,L,F,1
-2,10.5,0.2257660781580582,H27-07,933,demo,L,F,1
-1,10.5,0.1641087392587927,H27-07,933,demo,L,F,1
0,10.5,-0.07202188145372664,H27-07,933,demo,L,F,1
1,10.5,-0.22525277486192427,H27-07,933,demo,L,F,1
2,10.5,-0.40849328382995465,H27-07,933,demo,L,F,1
3,10.5,-0.12836657237257482,H27-07,933,demo,L,F,1
-3,12.4,0.18327062207309486,H27-07,933,demo,L,F,1
-2,12.4,0.3058869042077003,H27-07,933,demo,L,F,1
-1,12.4,0.08169164363917221,H27-07,933,demo,L,F,1
0,12.4,-0.14591249053225525,H27-07,933,demo,L,F,1
1,12.4,-0.2942494365189082,H27-07,933,demo,L,F,1
2,12.4,-0.46162490100516734,H27-07,933,demo,L,F,1
3,12.4,-0.2016527751704397,H27-07,933,demo,L,F,1
-3,14.3,0.23563617993535735,H27-07,933,demo,L,F,1
-2,14.3,0.3147887159275358,H27-07,933,demo,L,F,1
