Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,0.1546649423946631,H27-03,930,indivi,F,1
-2,1.0,-0.3389291664250603,H27-03,930,indivi,F,1
-1,1.0,-0.492089878159681,H27-03,930,indivi,F,1
0,1.0,-0.3093115663268601,H27-03,930,indivi,F,1
1,1.0,0.6797343119131122,H27-03,930,indivi,F,1
2,1.0,-0.18312450029953106,H27-03,930,indivi,F,1
3,1.0,0.5522886111202192,H27-03,930,indivi,F,1
-3,2.33,0.8787992059767048,H27-03,930,indivi,F,1
-2,2.33,0.23329027647386236,H27-03,930,indivi,F,1
-1,2.33,0.11670444011230603,H27-03,930,indivi,F,1
0,2.33,0.8068459987538636,H27-03,930,indivi,F,1
1,2.33,0.16778162293629534,H27-03,930,indivi,F,1
2,2.33,-0.46504694629915144,H27-03,930,indivi,F,1
3,2.33,0.4459076992034389,H27-03,930,indivi,F,1
-3,3.66,0.8113563563238678,H27-03,930,indivi,F,1
-2,3.66,0.26972711252147746,H27-03,930,indivi,F,1
-1,3.66,0.46875366998464707,H27-03,930,indivi,F,1
0,3.66,0.6078786283742661,H27-03,930,indivi,F,1
1,3.66,-0.05048086264401391,H27-03,930,indivi,F,1
2,3.66,-0.5242736106313602,H27-03,930,indivi,F,1
3,3.66,0.702751203694494,H27-03,930,indivi,F,1
-3,4.99,0.7010087926754657,H27-03,930,indivi,F,1
-2,4.99,-0.165151057830776,H27-03,930,indivi,F,1
-1,4.99,0.7895700141692445,H27-03,930,indivi,F,1
0,4.99,0.23419198217649412,H27-03,930,indivi,F,1
1,4.99,-0.4129749860220667,H27-03,930,indivi,F,1
2,4.99,0.31293779978883385,H27-03,930,indivi,F,1
3,4.99,-0.0025254684416311096,H27-03,930,indivi,F,1
-3,6.32,0.09437276779592538,H27-03,930,indivi,F,1
-2,6.32,-0.053353831191370715,H27-03,930,indivi,F,1
-1,6.32,0.7889607120368349,H27-03,930,indivi,F,1
0,6.32,-0.3665186420608142,H27-03,930,indivi,F,1
1,6.32,-0.22559192005691212,H27-03,930,indivi,F,1
2,6.32,0.7570103503526526,H27-03,930,indivi,F,1
3,6.32,0.7279938967258998,H27-03,930,indivi,F,1
-3,7.65,0.08069255526623567,H27-03,930,indivi,F,1
-2,7.65,-0.3080029569478191,H27-03,930,indivi,F,1
-1,7.65,0.8580586243210483,H27-03,930,indivi,F,1
0,7.65,-0.22379615990939242,H27-03,930,indivi,F,1
1,7.65,-0.41713620479985436,H27-03,930,indivi,F,1
2,7.65,0.7656159649780541,H27-03,930,indivi,F,1
3,7.65,0.550379126845186,H27-03,930,indivi,F,1
-3,8.98,-0.7441306451420294,H27-03,930,indivi,F,1
-2,8.98,0.14065335968687312,H27-03,930,indivi,F,1
-1,8.98,0.8533944213621716,H27-03,930,indivi,F,1
0,8.98,-0.31796986156365087,H27-03,930,indivi,F,1
1,8.98,0.0043717445569530205,H27-03,930,indivi,F,1
2,8.98,0.37710982905050094,H27-03,930,indivi,F,1
3,8.98,0.3875692886563824,H27-03,930,indivi,F,1
-3,10.31,-0.30879533543718607,H27-03,930,indivi,F,1
-2,10.31,0.11867373040821268,H27-03,930,indivi,F,1
-1,10.31,0.7740150855722928,H27-03,930,indivi,F,1
0,10.31,-0.2543975307149126,H27-03,930,indivi,F,1
1,10.31,-0.16866579575638438,H27-03,930,indivi,F,1
2,10.31,-0.12136439745896313,H27-03,930,indivi,F,1
3,10.31,0.5431575897331253,H27-03,930,indivi,F,1
-3,11.64,-0.18189538909885894,H27-03,930,indivi,F,1
-2,11.64,0.39506563070401024,H27-03,930,indivi,F,1
-1,11.64,0.38577565260217955,H27-03,930,indivi,F,1
0,11.64,-0.17794676713018623,H27-03,930,indivi,F,1
1,11.64,-0.20634763817192792,H27-03,930,indivi,F,1
2,11.64,-0.36470858502354864,H27-03,930,indivi,F,1
3,11.64,0.3590825141242577,H27-03,930,indivi,F,1
-3,12.97,-0.5409284087182693,H27-03,930,indivi,F,1
-2,12.97,0.6016156684373459,H27-03,930,indivi,F,1
-1,12.97,0.19396541673405662,H27-03,930,indivi,F,1
0,12.97,0.1595495593543589,H27-03,930,indivi,F,1
1,12.97,-0.29465319599372797,H27-03,930,indivi,F,1
2,12.97,-0.37442969885659794,H27-03,930,indivi,F,1
3,12.97,0.034102674009989536,H27-03,930,indivi,F,1
-3,14.3,-0.6977000394445,H27-03,930,indivi,F,1
-2,14.3,0.4464297748287372,H27-03,930,indivi,F,1
-1,14.3,-0.1743621407148747,H27-03,930,indivi,F,1
0,14.3,0.19308966826784071,H27-03,930,indivi,F,1
1,14.3,0.3214090639598311,H27-03,930,indivi,F,1
2,14.3,-0.8433723802687225,H27-03,930,indivi,F,1
3,14.3,0.13794387510470352,H27-03,930,indivi,F,1
-3,15.63,-0.6767730015377332,H27-03,930,indivi,F,1
-2,15.63,0.5716369104968068,H27-03,930,indivi,F,1
-1,15.63,-0.40653431268527795,H27-03,930,indivi,F,1
0,15.63,0.16158218068656405,H27-03,930,indivi,F,1
1,15.63,0.12145960677441357,H27-03,930,indivi,F,1
2,15.63,-0.12024130232571204,H27-03,930,indivi,F,1
3,15.63,-0.10687944439970308,H27-03,930,indivi,F,1
-3,16.96,-0.3367548285899659,H27-03,930,indivi,F,1
-2,16.96,0.7537290368859948,H27-03,930,indivi,F,1
